NUTS0_CODE;CROP_CODE;AREA_AV;PROD_AV;UAA_AV;NUTS_AREA
AT;V0000;"18.08";"618.41";"2642.21";"8387.9"
BE;V0000;"67.21";"2209.97";"1355.86";"3052.8"
BG;V0000;"26.71";"524.72";"5038.23";"11037"
CY;V0000;"2.71";"80.29";"126.15";"925.1"
CZ;V0000;"10.8";"238.94";"3524.38";"7886.8"
DE;V0000;"124.6";"3890.65";"16636.98";"35737.6"
DK;V0000;"11.79";"287.76";"2625.64";"4292.4"
EE;V0000;"2.03";"46.14";"985.41";"4522.7"
EL;V0000;"76.2";"2518.66";"5199.68";"13204.9"
ES;V0000;"382.15";"15153.42";"24253.86";"50594.4"
FI;V0000;"12.18";"280.86";"2271.18";"33844"
FR;V0000;"263.18";"5687.96";"29010.89";"63318.66"
HR;V0000;"8.95";"179.63";"1493.86";"5659.4"
HU;V0000;"87.72";"1498.43";"5210.49";"9301.1"
IE;V0000;"4.37";"149.03";"4475.59";"6979.7"
IT;V0000;"416.99";"12966.66";"13034.85";"30207.3"
LT;V0000;"11.36";"205.59";"2947.62";"6528.6"
LU;V0000;"0.16";"3.23";"131.85";"258.6"
LV;V0000;"3.04";"69.19";"1953.72";"6457.3"
MT;V0000;"0";"0";"11.23";"31.54"
NL;V0000;"96.53";"5225.45";"1811.01";"4154"
PL;V0000;"184.23";"5305.92";"14572.84";"31267.9"
PT;V0000;"55.03";"2491.02";"3875.79";"9222.6"
RO;V0000;"129.68";"2419.27";"13348.99";"23839.07"
SE;V0000;"13.18";"358.77";"3005";"43857.4"
SI;V0000;"6.06";"113.45";"480.54";"2027.3"
SK;V0000;"6.72";"119.72";"1902.42";"4903.5"
