NUTS0_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,NUTS_AREA
AT,V1300,"0.74","39.07","2642.21","8387.9"
BE,V1300,"1.03","54.9","1355.86","3052.8"
BG,V1300,"1.65","39.9","5038.23","11037"
CY,V1300,"0.11","3.93","126.15","925.1"
CZ,V1300,"1.1","41.77","3524.38","7886.8"
DE,V1300,"8.98","593.64","16636.98","35737.6"
DK,V1300,"0.62","32.92","2625.64","4292.4"
EE,V1300,"0.27","9.96","985.41","4522.7"
EE,V1300,"0.27",,"985.41","4522.7"
EL,V1300,"2.91","74.03","5199.68","13204.9"
ES,V1300,"4.58","159.96","24253.86","50594.4"
FI,V1300,"0.6","22.05","2271.18","33844"
FR,V1300,"0.83","61.69","29010.89","63318.66"
HR,V1300,"1.51","32.7","1493.86","5659.4"
HU,V1300,"2.33","50.67","5210.49","9301.1"
IE,V1300,"0.7","23.23","4475.59","6979.7"
IT,V1300,"7.27","181.11","13034.85","30207.3"
LT,V1300,"1.8","48.86","2947.62","6528.6"
LU,V1300,"0.01","0.61","131.85","258.6"
LV,V1300,"0.61","20.26","1953.72","6457.3"
MT,V1300,"0","0","11.23","31.54"
NL,V1300,"2.69","169.22","1811.01","4154"
PL,V1300,"18.72","833.08","14572.84","31267.9"
PT,V1300,"3.33","95.91","3875.79","9222.6"
RO,V1300,"24.7","608.57","13348.99","23839.07"
SE,V1300,"0.47","19.43","3005","43857.4"
SI,V1300,"0.63","21.25","480.54","2027.3"
SK,V1300,"0.4","13.28","1902.42","4903.5"
