NUTS0_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,NUTS_AREA
AT,V1000,"1.54","66.52","2642.21","8387.9"
BE,V1000,"10.21","271.22","1355.86","3052.8"
BG,V1000,"1.83","42.23","5038.23","11037"
CY,V1000,"0.17","5.11","126.15","925.1"
CZ,V1000,"1.61","51.69","3524.38","7886.8"
DE,V1000,"19.08","842.29","16636.98","35737.6"
DK,V1000,"2.16","48.67","2625.64","4292.4"
EE,V1000,"0.35","14.17","985.41","4522.7"
EL,V1000,"5.56","125.82","5199.68","13204.9"
ES,V1000,"50.51","982.96","24253.86","50594.4"
FI,V1000,"1.39","28.71","2271.18","33844"
FR,V1000,"25.47","449.6","29010.89","63318.66"
HR,V1000,"1.85","37.82","1493.86","5659.4"
HU,V1000,"3.27","69.75","5210.49","9301.1"
IE,V1000,"1.73","35.39","4475.59","6979.7"
IT,V1000,"38.6","800.95","13034.85","30207.3"
LT,V1000,"2.07","50.6","2947.62","6528.6"
LU,V1000,"0.02","0.71","131.85","258.6"
LV,V1000,"0.68","20.64","1953.72","6457.3"
MT,V1000,"0","0","11.23","31.54"
NL,V1000,"11.14","311.6","1811.01","4154"
PL,V1000,"35.49","1164.83","14572.84","31267.9"
PT,V1000,"10.82","244.13","3875.79","9222.6"
RO,V1000,"27.9","662.76","13348.99","23839.07"
SE,V1000,"1.44","31.61","3005","43857.4"
SI,V1000,"0.95","26.74","480.54","2027.3"
SK,V1000,"0.47","14.38","1902.42","4903.5"
