NUTS0_CODE;CROP_CODE;AREA_AV;PROD_AV;UAA_AV;NUTS_AREA
AT;V3600;"0.17";"15.39";"2642.21";"8387.9"
BE;V3600;"0.1";"26.56";"1355.86";"3052.8"
BG;V3600;"3.05";"56.67";"5038.23";"11037"
CY;V3600;"0.04";"1";"126.15";"925.1"
CZ;V3600;"0.26";"0";"3524.38";"7886.8"
CZ;V3600;"0.26";"9.05";"3524.38";"7886.8"
DE;V3600;"0.11";"14.93";"16636.98";"35737.6"
DK;V3600;"0";"0";"2625.64";"4292.4"
EE;V3600;"0";"0";"985.41";"4522.7"
EL;V3600;"3.6";"152.11";"5199.68";"13204.9"
ES;V3600;"21.3";"1388.03";"24253.86";"50594.4"
FI;V3600;"0.01";"1.09";"2271.18";"33844"
FR;V3600;"1.07";"30.74";"29010.89";"63318.66"
HR;V3600;"0.82";"13.16";"1493.86";"5659.4"
HU;V3600;"1.91";"103.16";"5210.49";"9301.1"
IE;V3600;"0";"0";"4475.59";"6979.7"
IT;V3600;"10.16";"250.43";"13034.85";"30207.3"
LT;V3600;"0";"0";"2947.62";"6528.6"
LU;V3600;"0";"0";"131.85";"258.6"
LV;V3600;"0";"0";"1953.72";"6457.3"
MT;V3600;"0";"0";"11.23";"31.54"
NL;V3600;"1.46";"402";"1811.01";"4154"
PL;V3600;"3.65";"205.95";"14572.84";"31267.9"
PT;V3600;"1.1";"48.41";"3875.79";"9222.6"
RO;V3600;"10.02";"141.18";"13348.99";"23839.07"
SE;V3600;"0";"0";"3005";"43857.4"
SI;V3600;"0.19";"4.25";"480.54";"2027.3"
SK;V3600;"0.23";"4.71";"1902.42";"4903.5"
