NUTS0_CODE;CROP_CODE;AREA_AV;PROD_AV;UAA_AV;NUTS_AREA
AT;F4900;"0";"0";"2642.21";"8387.9"
BE;F4900;"0";"0";"1355.86";"3052.8"
BG;F4900;"0";"0";"5038.23";"11037"
CY;F4900;"0.05";"0.01";"126.15";"925.1"
CZ;F4900;"0";"0";"3524.38";"7886.8"
DE;F4900;"0";"0";"16636.98";"35737.6"
DK;F4900;"0";"0";"2625.64";"4292.4"
EE;F4900;"0";"0";"985.41";"4522.7"
EL;F4900;"4.93";"9.71";"5199.68";"13204.9"
ES;F4900;"40.06";"12.02";"24253.86";"50594.4"
FI;F4900;"0";"0";"2271.18";"33844"
FR;F4900;"0.53";"1.91";"29010.89";"63318.66"
FR;F4900;"0.53";"0";"29010.89";"63318.66"
HR;F4900;"0";"0";"1493.86";"5659.4"
HU;F4900;"0";"0";"5210.49";"9301.1"
IE;F4900;"0";"0";"4475.59";"6979.7"
IT;F4900;"2.32";"0";"13034.85";"30207.3"
IT;F4900;"2.32";"2.42";"13034.85";"30207.3"
LT;F4900;"0";"0";"2947.62";"6528.6"
LU;F4900;"0";"0";"131.85";"258.6"
LV;F4900;"0";"0";"1953.72";"6457.3"
MT;F4900;"0";"0";"11.23";"31.54"
NL;F4900;"0";"0";"1811.01";"4154"
PL;F4900;"0";"0";"14572.84";"31267.9"
PT;F4900;"88.4";;"3875.79";"9222.6"
RO;F4900;"0";"0";"13348.99";"23839.07"
SE;F4900;"0";"0";"3005";"43857.4"
SI;F4900;"0";"0";"480.54";"2027.3"
SK;F4900;"0";"0";"1902.42";"4903.5"
