NUTS0_CODE;CROP_CODE;AREA_AV;PROD_AV;UAA_AV;NUTS_AREA
AT;F4400;"0";"0";"2642.21";"8387.9"
BE;F4400;"0";"0";"1355.86";"3052.8"
BG;F4400;"0";"0";"5038.23";"11037"
CY;F4400;"0";"0";"126.15";"925.1"
CZ;F4400;"0";"0";"3524.38";"7886.8"
DE;F4400;"0";"0";"16636.98";"35737.6"
DK;F4400;"0";"0";"2625.64";"4292.4"
EE;F4400;"0";"0";"985.41";"4522.7"
EL;F4400;"9.24";"33.44";"5199.68";"13204.9"
ES;F4400;"37.25";"181.26";"24253.86";"50594.4"
FI;F4400;"0";"0";"2271.18";"33844"
FR;F4400;"8.5";"8.09";"29010.89";"63318.66"
HR;F4400;"0.19";"0.05";"1493.86";"5659.4"
HU;F4400;"0.29";"0.2";"5210.49";"9301.1"
IE;F4400;"0";"0";"4475.59";"6979.7"
IT;F4400;"35.77";"40.54";"13034.85";"30207.3"
LT;F4400;"0";"0";"2947.62";"6528.6"
LU;F4400;"0";"0";"131.85";"258.6"
LV;F4400;"0";"0";"1953.72";"6457.3"
MT;F4400;"0";"0";"11.23";"31.54"
NL;F4400;"0";"0";"1811.01";"4154"
PL;F4400;"0";"0";"14572.84";"31267.9"
PT;F4400;"46.37";"37.44";"3875.79";"9222.6"
RO;F4400;"0.01";"0";"13348.99";"23839.07"
RO;F4400;"0.01";"0.04";"13348.99";"23839.07"
SE;F4400;"0";"0";"3005";"43857.4"
SI;F4400;"0.04";"0.13";"480.54";"2027.3"
SK;F4400;"0";"0";"1902.42";"4903.5"
