NUTS0_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,NUTS_AREA
AT,T1000,"0","0","2642.21","8387.9"
BE,T1000,"0","0","1355.86","3052.8"
BG,T1000,"0","0","5038.23","11037"
CY,T1000,"1.18","18.81","126.15","925.1"
CZ,T1000,"0","0","3524.38","7886.8"
DE,T1000,"0","0","16636.98","35737.6"
DK,T1000,"0","0","2625.64","4292.4"
EE,T1000,"0","0","985.41","4522.7"
EL,T1000,"30.04","885.6","5199.68","13204.9"
ES,T1000,"140.95","3434.53","24253.86","50594.4"
FI,T1000,"0","0","2271.18","33844"
FR,T1000,"0.99","9.72","29010.89","63318.66"
HR,T1000,"0.04","0.38","1493.86","5659.4"
HU,T1000,"0","0","5210.49","9301.1"
IE,T1000,"0","0","4475.59","6979.7"
IT,T1000,"83.25","1664.45","13034.85","30207.3"
LT,T1000,"0","0","2947.62","6528.6"
LU,T1000,"0","0","131.85","258.6"
LV,T1000,"0","0","1953.72","6457.3"
MT,T1000,"0","0","11.23","31.54"
NL,T1000,"0","0","1811.01","4154"
PL,T1000,"0","0","14572.84","31267.9"
PT,T1000,"17.21","345.25","3875.79","9222.6"
RO,T1000,"0","0","13348.99","23839.07"
SE,T1000,"0","0","3005","43857.4"
SI,T1000,"0","0","480.54","2027.3"
SK,T1000,"0","0","1902.42","4903.5"
