NUTS0_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,NUTS_AREA
AT,T0000,"0","0","2642.21","8387.9"
BE,T0000,"0","0","1355.86","3052.8"
BG,T0000,"0","0","5038.23","11037"
CY,T0000,"3.03","67.71","126.15","925.1"
CZ,T0000,"0","0","3524.38","7886.8"
DE,T0000,"0","0","16636.98","35737.6"
DK,T0000,"0","0","2625.64","4292.4"
EE,T0000,"0","0","985.41","4522.7"
EL,T0000,"44.01","1157.59","5199.68","13204.9"
ES,T0000,"297.37","6505.38","24253.86","50594.4"
FI,T0000,"0","0","2271.18","33844"
FR,T0000,"4.74","76.47","29010.89","63318.66"
HR,T0000,"2.09","40.23","1493.86","5659.4"
HU,T0000,"0","0","5210.49","9301.1"
IE,T0000,"0","0","4475.59","6979.7"
IT,T0000,"140.11","2852.49","13034.85","30207.3"
LT,T0000,"0","0","2947.62","6528.6"
LU,T0000,"0","0","131.85","258.6"
LV,T0000,"0","0","1953.72","6457.3"
MT,T0000,"0.02","0","11.23","31.54"
MT,T0000,"0.02","0.72","11.23","31.54"
NL,T0000,"0","0","1811.01","4154"
PL,T0000,"0","0","14572.84","31267.9"
PT,T0000,"21.22","408.5","3875.79","9222.6"
RO,T0000,"0","0","13348.99","23839.07"
SE,T0000,"0","0","3005","43857.4"
SI,T0000,"0","0","480.54","2027.3"
SK,T0000,"0","0","1902.42","4903.5"
