NUTS0_CODE;CROP_CODE;AREA_AV;PROD_AV;UAA_AV;NUTS_AREA
AT;T9000;"0";"0";"2642.21";"8387.9"
BE;T9000;"0";"0";"1355.86";"3052.8"
BG;T9000;"0";"0";"5038.23";"11037"
CY;T9000;"0";"0";"126.15";"925.1"
CZ;T9000;"0";"0";"3524.38";"7886.8"
DE;T9000;"0";"0";"16636.98";"35737.6"
DK;T9000;"0";"0";"2625.64";"4292.4"
EE;T9000;"0";"0";"985.41";"4522.7"
EL;T9000;"0.97";"19.52";"5199.68";"13204.9"
ES;T9000;"1.24";"1.09";"24253.86";"50594.4"
FI;T9000;"0";"0";"2271.18";"33844"
FR;T9000;"0";"0";"29010.89";"63318.66"
FR;T9000;"0";;"29010.89";"63318.66"
HR;T9000;"0";"0";"1493.86";"5659.4"
HU;T9000;"0";"0";"5210.49";"9301.1"
IE;T9000;"0";"0";"4475.59";"6979.7"
IT;T9000;"0.94";;"13034.85";"30207.3"
IT;T9000;"0.94";"0";"13034.85";"30207.3"
IT;T9000;"0.94";"21.86";"13034.85";"30207.3"
LT;T9000;"0";"0";"2947.62";"6528.6"
LU;T9000;"0";"0";"131.85";"258.6"
LV;T9000;"0";"0";"1953.72";"6457.3"
MT;T9000;"0";"0";"11.23";"31.54"
NL;T9000;"0";"0";"1811.01";"4154"
PL;T9000;"0";"0";"14572.84";"31267.9"
PT;T9000;;;"3875.79";"9222.6"
RO;T9000;"0";"0";"13348.99";"23839.07"
SE;T9000;"0";"0";"3005";"43857.4"
SI;T9000;"0";"0";"480.54";"2027.3"
SK;T9000;"0";"0";"1902.42";"4903.5"
