NUTS0_CODE;CROP_CODE;AREA_AV;PROD_AV;UAA_AV;NUTS_AREA
AT;H9000;"1.72";;"2642.21";"8387.9"
BE;H9000;"0";"0";"1355.86";"3052.8"
BG;H9000;"0";"0";"5038.23";"11037"
CY;H9000;"1.1";"8.24";"126.15";"925.1"
CZ;H9000;"0";"0";"3524.38";"7886.8"
DE;H9000;"0";"0";"16636.98";"35737.6"
DK;H9000;"0";"0";"2625.64";"4292.4"
EE;H9000;"0";"0";"985.41";"4522.7"
EL;H9000;"5.97";"58.23";"5199.68";"13204.9"
ES;H9000;"48.02";"57.87";"24253.86";"50594.4"
FI;H9000;"0";"0";"2271.18";"33844"
FR;H9000;"0";"0";"29010.89";"63318.66"
HR;H9000;"0";"0";"1493.86";"5659.4"
HU;H9000;"0.35";"0";"5210.49";"9301.1"
IE;H9000;"0";"0";"4475.59";"6979.7"
IT;H9000;"2.22";"18.64";"13034.85";"30207.3"
LT;H9000;"0";"0";"2947.62";"6528.6"
LU;H9000;"0";"0";"131.85";"258.6"
LV;H9000;"0";"0";"1953.72";"6457.3"
MT;H9000;"0";"0";"11.23";"31.54"
NL;H9000;"0";"0";"1811.01";"4154"
PL;H9000;"0";"0";"14572.84";"31267.9"
PT;H9000;"15.25";;"3875.79";"9222.6"
RO;H9000;"0";"0";"13348.99";"23839.07"
SE;H9000;"0";"0";"3005";"43857.4"
SI;H9000;"0";"0";"480.54";"2027.3"
SK;H9000;"0";"0";"1902.42";"4903.5"
