NUTS0_CODE;CROP_CODE;AREA_AV;PROD_AV;UAA_AV;NUTS_AREA
AT;F4200;"0";"0";"2642.21";"8387.9"
BE;F4200;"0.01";"0";"1355.86";"3052.8"
BG;F4200;"1.11";"0.53";"5038.23";"11037"
CY;F4200;"0.02";"0.02";"126.15";"925.1"
CZ;F4200;"0";"0";"3524.38";"7886.8"
DE;F4200;"0";"0";"16636.98";"35737.6"
DK;F4200;"0";"0";"2625.64";"4292.4"
EE;F4200;"0";"0";"985.41";"4522.7"
EL;F4200;"0.53";"1.13";"5199.68";"13204.9"
ES;F4200;"13.1";"8.82";"24253.86";"50594.4"
FI;F4200;"0";"0";"2271.18";"33844"
FR;F4200;"6.23";"12.28";"29010.89";"63318.66"
HR;F4200;"5.49";"2.03";"1493.86";"5659.4"
HU;F4200;"0.38";"0.17";"5210.49";"9301.1"
IE;F4200;"0";"0";"4475.59";"6979.7"
IT;F4200;"78.92";"117.55";"13034.85";"30207.3"
LT;F4200;"0.04";"0";"2947.62";"6528.6"
LT;F4200;"0.04";"0.01";"2947.62";"6528.6"
LU;F4200;"0";"0";"131.85";"258.6"
LV;F4200;"0";"0";"1953.72";"6457.3"
MT;F4200;"0";"0";"11.23";"31.54"
NL;F4200;"0";"0";"1811.01";"4154"
PL;F4200;"4.4";"6.4";"14572.84";"31267.9"
PT;F4200;"0.35";"0.24";"3875.79";"9222.6"
RO;F4200;"0.77";"0.78";"13348.99";"23839.07"
SE;F4200;"0";"0";"3005";"43857.4"
SI;F4200;"0.15";"0.23";"480.54";"2027.3"
SK;F4200;"0";"0";"1902.42";"4903.5"
