NUTS0_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,NUTS_AREA
AT,V3510,"0.01","0.35","2642.21","8387.9"
AT,V3510,"0.01","0","2642.21","8387.9"
BE,V3510,"0","0","1355.86","3052.8"
BG,V3510,"2.62","26.23","5038.23","11037"
CY,V3510,"0.14","8.38","126.15","925.1"
CZ,V3510,"0","0","3524.38","7886.8"
DE,V3510,"0","0","16636.98","35737.6"
DK,V3510,"0","0","2625.64","4292.4"
EE,V3510,"0","0","985.41","4522.7"
EL,V3510,"3.66","71.09","5199.68","13204.9"
ES,V3510,"19.39","648.76","24253.86","50594.4"
FI,V3510,"0","0","2271.18","33844"
FR,V3510,"13.56","265.59","29010.89","63318.66"
HR,V3510,"0.16","3.39","1493.86","5659.4"
HU,V3510,"0.54","14.73","5210.49","9301.1"
IE,V3510,"0","0","4475.59","6979.7"
IT,V3510,"23.94","601.23","13034.85","30207.3"
LT,V3510,"0","0","2947.62","6528.6"
LU,V3510,"0","0","131.85","258.6"
LV,V3510,"0","0","1953.72","6457.3"
MT,V3510,"0","0","11.23","31.54"
NL,V3510,"0","0","1811.01","4154"
PL,V3510,"0","0","14572.84","31267.9"
PT,V3510,"2.09","59.68","3875.79","9222.6"
RO,V3510,"4.07","69.45","13348.99","23839.07"
SE,V3510,"0","0","3005","43857.4"
SI,V3510,"0.01","0.35","480.54","2027.3"
SK,V3510,"0.02","0.23","1902.42","4903.5"
