NUTS0_CODE;CROP_CODE;AREA_AV;PROD_AV;UAA_AV;NUTS_AREA
AT;V3200;"0.2";"36.2";"2642.21";"8387.9"
BE;V3200;"0.06";"27.43";"1355.86";"3052.8"
BG;V3200;"1.01";"55.8";"5038.23";"11037"
CY;V3200;"0.18";"8.34";"126.15";"925.1"
CZ;V3200;"0.04";"2.27";"3524.38";"7886.8"
DE;V3200;"0.38";"67.61";"16636.98";"35737.6"
DK;V3200;"0.04";"16.1";"2625.64";"4292.4"
EE;V3200;"0.1";"6.69";"985.41";"4522.7"
EL;V3200;"1.87";"130.46";"5199.68";"13204.9"
ES;V3200;"7.57";"711.6";"24253.86";"50594.4"
FI;V3200;"0.09";"48.74";"2271.18";"33844"
FR;V3200;"1.65";"155.66";"29010.89";"63318.66"
HR;V3200;"0.1";"6.29";"1493.86";"5659.4"
HU;V3200;"0.29";"16.99";"5210.49";"9301.1"
IE;V3200;"0.01";"1.73";"4475.59";"6979.7"
IT;V3200;"1.84";"55.95";"13034.85";"30207.3"
LT;V3200;"1.08";"19.92";"2947.62";"6528.6"
LU;V3200;"0";"0";"131.85";"258.6"
LV;V3200;"0.06";"7.07";"1953.72";"6457.3"
LV;V3200;"0.06";"0";"1953.72";"6457.3"
MT;V3200;"0";"0";"11.23";"31.54"
NL;V3200;"0.62";"418.23";"1811.01";"4154"
PL;V3200;"8.27";"445.9";"14572.84";"31267.9"
PT;V3200;"0.16";"10.82";"3875.79";"9222.6"
RO;V3200;"5.66";"109.79";"13348.99";"23839.07"
SE;V3200;"0.09";"31.53";"3005";"43857.4"
SI;V3200;"0.07";"1.58";"480.54";"2027.3"
SK;V3200;"0.04";"3.94";"1902.42";"4903.5"
