NUTS0_CODE;CROP_CODE;AREA_AV;PROD_AV;UAA_AV;NUTS_AREA
AT;V3420;"0.17";"7.02";"2642.21";"8387.9"
BE;V3420;"0.79";"41.33";"1355.86";"3052.8"
BG;V3420;"0.14";"2.75";"5038.23";"11037"
CY;V3420;"0.12";"2.56";"126.15";"925.1"
CZ;V3420;"0";"0";"3524.38";"7886.8"
DE;V3420;"1.22";"44.8";"16636.98";"35737.6"
DK;V3420;"0.06";"1.22";"2625.64";"4292.4"
EE;V3420;"0";"0";"985.41";"4522.7"
EL;V3420;"2.44";"68.98";"5199.68";"13204.9"
ES;V3420;"11.18";"611.7";"24253.86";"50594.4"
FI;V3420;"0.06";"1.47";"2271.18";"33844"
FR;V3420;"3.39";"132.58";"29010.89";"63318.66"
HR;V3420;"0.2";"3.37";"1493.86";"5659.4"
HU;V3420;"0.75";"13.64";"5210.49";"9301.1"
IE;V3420;"0.04";"0.73";"4475.59";"6979.7"
IT;V3420;"19.32";"573.52";"13034.85";"30207.3"
LT;V3420;"0.14";"0.93";"2947.62";"6528.6"
LU;V3420;"0";"0";"131.85";"258.6"
LV;V3420;"0.04";"0.66";"1953.72";"6457.3"
LV;V3420;"0.04";"0";"1953.72";"6457.3"
MT;V3420;"0";"0";"11.23";"31.54"
NL;V3420;"0.42";"19.21";"1811.01";"4154"
PL;V3420;"0.8";"21.39";"14572.84";"31267.9"
PT;V3420;"0.57";"26.47";"3875.79";"9222.6"
RO;V3420;"0.1";"1.83";"13348.99";"23839.07"
SE;V3420;"0.04";"1.29";"3005";"43857.4"
SI;V3420;"0.21";"5.23";"480.54";"2027.3"
SK;V3420;"0.06";"0.25";"1902.42";"4903.5"
SK;V3420;"0.06";"0";"1902.42";"4903.5"
