NUTS0_CODE;CROP_CODE;AREA_AV;PROD_AV;UAA_AV;NUTS_AREA
AT;V4100;"1.86";"106.74";"2642.21";"8387.9"
BE;V4100;"5.45";"334.28";"1355.86";"3052.8"
BG;V4100;"0.96";"18.06";"5038.23";"11037"
CY;V4100;"0.06";"2.1";"126.15";"925.1"
CZ;V4100;"0.81";"32.34";"3524.38";"7886.8"
DE;V4100;"13.59";"782.92";"16636.98";"35737.6"
DK;V4100;"2.13";"102.29";"2625.64";"4292.4"
EE;V4100;"0.36";"14.16";"985.41";"4522.7"
EL;V4100;"0.95";"25.19";"5199.68";"13204.9"
ES;V4100;"6.77";"395.61";"24253.86";"50594.4"
FI;V4100;"1.78";"72.61";"2271.18";"33844"
FR;V4100;"13.39";"573.46";"29010.89";"63318.66"
HR;V4100;"0.36";"10.15";"1493.86";"5659.4"
HU;V4100;"1.61";"82.51";"5210.49";"9301.1"
IE;V4100;"0.79";"52.67";"4475.59";"6979.7"
IT;V4100;"10.87";"489.95";"13034.85";"30207.3"
LT;V4100;"1.56";"43.66";"2947.62";"6528.6"
LU;V4100;"0.03";"0.79";"131.85";"258.6"
LV;V4100;"0.46";"12.59";"1953.72";"6457.3"
MT;V4100;"0";"0";"11.23";"31.54"
NL;V4100;"9.57";"596.5";"1811.01";"4154"
PL;V4100;"20.55";"710.24";"14572.84";"31267.9"
PT;V4100;"2.13";"108.73";"3875.79";"9222.6"
RO;V4100;"8.11";"119.52";"13348.99";"23839.07"
SE;V4100;"1.76";"110.02";"3005";"43857.4"
SI;V4100;"0.26";"5.7";"480.54";"2027.3"
SK;V4100;"0.37";"11.91";"1902.42";"4903.5"
