NUTS0_CODE;CROP_CODE;AREA_AV;PROD_AV;UAA_AV;NUTS_AREA
AT;F1200;"1.49";"33.95";"2642.21";"8387.9"
BE;F1200;"1.22";"6.64";"1355.86";"3052.8"
BG;F1200;"25.3";"160.04";"5038.23";"11037"
CY;F1200;"1.16";"5.1";"126.15";"925.1"
CZ;F1200;"5.47";"17.96";"3524.38";"7886.8"
DE;F1200;"13.08";"95.64";"16636.98";"35737.6"
DK;F1200;"0.66";"3.52";"2625.64";"4292.4"
EE;F1200;"0";"0";"985.41";"4522.7"
EL;F1200;"71.05";"1090.95";"5199.68";"13204.9"
ES;F1200;"140.47";"1884.84";"24253.86";"50594.4"
FI;F1200;"0";"0";"2271.18";"33844"
FR;F1200;"45.72";"518.17";"29010.89";"63318.66"
HR;F1200;"8.27";"22.04";"1493.86";"5659.4"
HU;F1200;"34.35";"157.94";"5210.49";"9301.1"
IE;F1200;"0";"0";"4475.59";"6979.7"
IT;F1200;"120.09";"1633.04";"13034.85";"30207.3"
LT;F1200;"1.51";"0.91";"2947.62";"6528.6"
LU;F1200;"0.04";"0.14";"131.85";"258.6"
LV;F1200;"0.4";"0.25";"1953.72";"6457.3"
MT;F1200;"0";"0";"11.23";"31.54"
NL;F1200;"1.08";"18.97";"1811.01";"4154"
PL;F1200;"53.89";"307.3";"14572.84";"31267.9"
PT;F1200;"12.69";"86.09";"3875.79";"9222.6"
RO;F1200;"76.3";"824.6";"13348.99";"23839.07"
SE;F1200;"0.07";"0.38";"3005";"43857.4"
SI;F1200;"0.6";"4.57";"480.54";"2027.3"
SK;F1200;"1.3";"3.93";"1902.42";"4903.5"
