NUTS0_CODE;CROP_CODE;AREA_AV;PROD_AV;UAA_AV;NUTS_AREA
AT;V4900;"0.6";"11.48";"2642.21";"8387.9"
BE;V4900;"1.48";"42.58";"1355.86";"3052.8"
BG;V4900;"0.09";"0.88";"5038.23";"11037"
CY;V4900;"0.06";"1.64";"126.15";"925.1"
CZ;V4900;"0.27";"5.07";"3524.38";"7886.8"
DE;V4900;"0";"0";"16636.98";"35737.6"
DK;V4900;"0.49";"7.23";"2625.64";"4292.4"
EE;V4900;"0.05";"0.86";"985.41";"4522.7"
EL;V4900;"0";"0";"5199.68";"13204.9"
ES;V4900;"3.47";"84.82";"24253.86";"50594.4"
FI;V4900;"0.85";"14.38";"2271.18";"33844"
FR;V4900;"2.95";"74.71";"29010.89";"63318.66"
HR;V4900;"0.19";"2.26";"1493.86";"5659.4"
HU;V4900;"3.5";"55.1";"5210.49";"9301.1"
IE;V4900;"0.8";"29.19";"4475.59";"6979.7"
IT;V4900;"23.65";"582.98";"13034.85";"30207.3"
LT;V4900;"0.08";"0.3";"2947.62";"6528.6"
LU;V4900;"0";"0.02";"131.85";"258.6"
LV;V4900;"0.25";"2.12";"1953.72";"6457.3"
MT;V4900;"0";"0";"11.23";"31.54"
NL;V4900;"1.36";"39.1";"1811.01";"4154"
PL;V4900;"10.83";"181.63";"14572.84";"31267.9"
PT;V4900;"2.64";"50.66";"3875.79";"9222.6"
RO;V4900;"0.51";"9.37";"13348.99";"23839.07"
SE;V4900;"0.65";"14.97";"3005";"43857.4"
SI;V4900;"0.67";"13.19";"480.54";"2027.3"
SK;V4900;"0.22";"4.49";"1902.42";"4903.5"
