NUTS0_CODE;CROP_CODE;AREA_AV;PROD_AV;UAA_AV;NUTS_AREA
AT;V2300;"1.36";"40.12";"2642.21";"8387.9"
BE;V2300;"1.17";"47.79";"1355.86";"3052.8"
BG;V2300;"0.21";"3.93";"5038.23";"11037"
CY;V2300;"0.19";"3.01";"126.15";"925.1"
CZ;V2300;"0.62";"16.78";"3524.38";"7886.8"
DE;V2300;"6.91";"223.94";"16636.98";"35737.6"
DK;V2300;"0.66";"24.3";"2625.64";"4292.4"
EE;V2300;"0";"0";"985.41";"4522.7"
EL;V2300;"3.02";"56.24";"5199.68";"13204.9"
ES;V2300;"34.3";"988.23";"24253.86";"50594.4"
FI;V2300;"0.58";"14.21";"2271.18";"33844"
FR;V2300;"8.19";"208.52";"29010.89";"63318.66"
HR;V2300;"0.23";"4.61";"1493.86";"5659.4"
HU;V2300;"0.28";"8.45";"5210.49";"9301.1"
IE;V2300;"0.24";"6.04";"4475.59";"6979.7"
IT;V2300;"20.09";"485.14";"13034.85";"30207.3"
LT;V2300;"0.26";"2.61";"2947.62";"6528.6"
LU;V2300;"0.02";"0.52";"131.85";"258.6"
LV;V2300;"0";"0";"1953.72";"6457.3"
MT;V2300;"0";"0";"11.23";"31.54"
NL;V2300;"3.26";"105.85";"1811.01";"4154"
PL;V2300;"2.18";"39.53";"14572.84";"31267.9"
PT;V2300;"2.29";"57.85";"3875.79";"9222.6"
RO;V2300;"0.14";"2.37";"13348.99";"23839.07"
SE;V2300;"1.93";"30.13";"3005";"43857.4"
SI;V2300;"0.8";"12.38";"480.54";"2027.3"
SK;V2300;"0.01";"0.13";"1902.42";"4903.5"
