NUTS0_CODE;CROP_CODE;AREA_AV;PROD_AV;UAA_AV;NUTS_AREA
AT;T2900;"0";"0";"2642.21";"8387.9"
BE;T2900;"0";"0";"1355.86";"3052.8"
BG;T2900;"0";"0";"5038.23";"11037"
CY;T2900;"0.81";"21.71";"126.15";"925.1"
CZ;T2900;"0";"0";"3524.38";"7886.8"
DE;T2900;"0";"0";"16636.98";"35737.6"
DK;T2900;"0";"0";"2625.64";"4292.4"
EE;T2900;"0";"0";"985.41";"4522.7"
EL;T2900;"0";"0";"5199.68";"13204.9"
ES;T2900;"33.56";"711.3";"24253.86";"50594.4"
FI;T2900;"0";"0";"2271.18";"33844"
FR;T2900;"0";"0";"29010.89";"63318.66"
HR;T2900;"2.02";"39.67";"1493.86";"5659.4"
HU;T2900;"0";"0";"5210.49";"9301.1"
IE;T2900;"0";"0";"4475.59";"6979.7"
IT;T2900;"5.1";"108.09";"13034.85";"30207.3"
LT;T2900;"0";"0";"2947.62";"6528.6"
LU;T2900;"0";"0";"131.85";"258.6"
LV;T2900;"0";"0";"1953.72";"6457.3"
MT;T2900;"0";"0";"11.23";"31.54"
NL;T2900;"0";"0";"1811.01";"4154"
PL;T2900;"0";"0";"14572.84";"31267.9"
PT;T2900;"1.54";"24.77";"3875.79";"9222.6"
RO;T2900;"0";"0";"13348.99";"23839.07"
SE;T2900;"0";"0";"3005";"43857.4"
SI;T2900;"0";"0";"480.54";"2027.3"
SK;T2900;"0";"0";"1902.42";"4903.5"
