NUTS0_CODE;CROP_CODE;AREA_AV;PROD_AV;UAA_AV;NUTS_AREA
AT;F1110;"6.56";"255.38";"2642.21";"8387.9"
BE;F1110;"5.75";"195.75";"1355.86";"3052.8"
BG;F1110;"3.89";"44.15";"5038.23";"11037"
CY;F1110;"0.38";"2.57";"126.15";"925.1"
CZ;F1110;"7.24";"117.37";"3524.38";"7886.8"
DE;F1110;"33.98";"962.92";"16636.98";"35737.6"
DK;F1110;"1.37";"29.79";"2625.64";"4292.4"
EE;F1110;"0.6";"1.54";"985.41";"4522.7"
EL;F1110;"10.88";"286.08";"5199.68";"13204.9"
ES;F1110;"29.81";"585.35";"24253.86";"50594.4"
FI;F1110;"0.64";"7.42";"2271.18";"33844"
FR;F1110;"51.12";"1693.99";"29010.89";"63318.66"
HR;F1110;"4.65";"67.54";"1493.86";"5659.4"
HU;F1110;"29.19";"512.8";"5210.49";"9301.1"
IE;F1110;"0.71";"19.34";"4475.59";"6979.7"
IT;F1110;"55.82";"2271.43";"13034.85";"30207.3"
LT;F1110;"10.16";"54.89";"2947.62";"6528.6"
LU;F1110;"0.2";"1.48";"131.85";"258.6"
LV;F1110;"3.33";"10.78";"1953.72";"6457.3"
MT;F1110;"0";"0";"11.23";"31.54"
NL;F1110;"6.44";"246.82";"1811.01";"4154"
PL;F1110;"159.76";"3428.82";"14572.84";"31267.9"
PT;F1110;"14";"323.67";"3875.79";"9222.6"
RO;F1110;"53.69";"519.64";"13348.99";"23839.07"
SE;F1110;"1.45";"27.31";"3005";"43857.4"
SI;F1110;"2.24";"48.72";"480.54";"2027.3"
SK;F1110;"1.96";"33.92";"1902.42";"4903.5"
