NUTS0_CODE;CROP_CODE;AREA_AV;PROD_AV;UAA_AV;NUTS_AREA
AT;G2100;"14.85";"233.22";"2642.21";"8387.9"
BE;G2100;"3.99";;"1355.86";"3052.8"
BG;G2100;"92.19";"969.07";"5038.23";"11037"
CY;G2100;"0.18";;"126.15";"925.1"
CZ;G2100;"72.46";"1209.43";"3524.38";"7886.8"
DE;G2100;;;"16636.98";"35737.6"
DK;G2100;"1.02";"94.56";"2625.64";"4292.4"
EE;G2100;;;"985.41";"4522.7"
EL;G2100;"29.16";"125.29";"5199.68";"13204.9"
ES;G2100;"257.09";"6154.39";"24253.86";"50594.4"
FI;G2100;"0";"0";"2271.18";"33844"
FR;G2100;;;"29010.89";"63318.66"
HR;G2100;"26.76";"455.45";"1493.86";"5659.4"
HU;G2100;"200.83";"2210.21";"5210.49";"9301.1"
IE;G2100;"0.01";"0";"4475.59";"6979.7"
IT;G2100;"703.22";"29207.33";"13034.85";"30207.3"
LT;G2100;"10.83";"168.39";"2947.62";"6528.6"
LU;G2100;;;"131.85";"258.6"
LV;G2100;"3.96";"0";"1953.72";"6457.3"
MT;G2100;"0";"0";"11.23";"31.54"
NL;G2100;"7.5";;"1811.01";"4154"
PL;G2100;"64.89";"1456.92";"14572.84";"31267.9"
PT;G2100;;;"3875.79";"9222.6"
RO;G2100;"414.61";"1562.42";"13348.99";"23839.07"
SE;G2100;"1.04";"14.94";"3005";"43857.4"
SI;G2100;"4.71";"84.49";"480.54";"2027.3"
SK;G2100;"50.57";"678.84";"1902.42";"4903.5"
