NUTS0_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,NUTS_AREA
AT,F2300,"0","0","2642.21","8387.9"
BE,F2300,"0","0","1355.86","3052.8"
BG,F2300,"0","0","5038.23","11037"
CY,F2300,"0.12","0.99","126.15","925.1"
CZ,F2300,"0","0","3524.38","7886.8"
DE,F2300,"0","0","16636.98","35737.6"
DK,F2300,"0","0","2625.64","4292.4"
EE,F2300,"0","0","985.41","4522.7"
EL,F2300,"1.09","8.91","5199.68","13204.9"
ES,F2300,"14.4","99.22","24253.86","50594.4"
FI,F2300,"0","0","2271.18","33844"
FR,F2300,"0.22","2.05","29010.89","63318.66"
HR,F2300,"0","0","1493.86","5659.4"
HU,F2300,"0","0","5210.49","9301.1"
IE,F2300,"0","0","4475.59","6979.7"
IT,F2300,"0","0","13034.85","30207.3"
LT,F2300,"0","0","2947.62","6528.6"
LU,F2300,"0","0","131.85","258.6"
LV,F2300,"0","0","1953.72","6457.3"
MT,F2300,"0","0","11.23","31.54"
NL,F2300,"0","0","1811.01","4154"
PL,F2300,"0","0","14572.84","31267.9"
PT,F2300,"1.38","10.02","3875.79","9222.6"
RO,F2300,"0","0","13348.99","23839.07"
SE,F2300,"0","0","3005","43857.4"
SI,F2300,"0","0","480.54","2027.3"
SK,F2300,"0","0","1902.42","4903.5"
