NUTS0_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,NUTS_AREA
AT,V5200,"1.14","6.87","2642.21","8387.9"
BE,V5200,"9.26","100.57","1355.86","3052.8"
BG,V5200,"0.26","1.78","5038.23","11037"
CY,V5200,"0.05","1.43","126.15","925.1"
CZ,V5200,"0","0","3524.38","7886.8"
DE,V5200,"4.57","45.84","16636.98","35737.6"
DK,V5200,"0","0","2625.64","4292.4"
EE,V5200,"0","0","985.41","4522.7"
EL,V5200,"4.59","50.18","5199.68","13204.9"
ES,V5200,"7.9","148.23","24253.86","50594.4"
FI,V5200,"0.05","0.08","2271.18","33844"
FR,V5200,"31.17","379.45","29010.89","63318.66"
HR,V5200,"0.46","2.68","1493.86","5659.4"
HU,V5200,"1.48","14.68","5210.49","9301.1"
IE,V5200,"0","0","4475.59","6979.7"
IT,V5200,"18.31","161.04","13034.85","30207.3"
LT,V5200,"0.21","0.29","2947.62","6528.6"
LU,V5200,"0","0","131.85","258.6"
LV,V5200,"0","0","1953.72","6457.3"
MT,V5200,"0","0","11.23","31.54"
NL,V5200,"3.89","47.27","1811.01","4154"
PL,V5200,"6.1","51.16","14572.84","31267.9"
PT,V5200,"0.72","10.43","3875.79","9222.6"
RO,V5200,"4.9","27.29","13348.99","23839.07"
SE,V5200,"0.1","0.25","3005","43857.4"
SI,V5200,"0.43","2.24","480.54","2027.3"
SK,V5200,"0","0","1902.42","4903.5"
