NUTS0_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,NUTS_AREA
AT,F1230,"0.83","6.91","2642.21","8387.9"
BE,F1230,"0","0","1355.86","3052.8"
BG,F1230,"2.65","17.32","5038.23","11037"
CY,F1230,"0.19","0.96","126.15","925.1"
CZ,F1230,"1.14","1.72","3524.38","7886.8"
DE,F1230,"0.23","0","16636.98","35737.6"
DK,F1230,"0","0","2625.64","4292.4"
EE,F1230,"0","0","985.41","4522.7"
EL,F1230,"8.96","107.1","5199.68","13204.9"
ES,F1230,"20.21","145.68","24253.86","50594.4"
FI,F1230,"0","0","2271.18","33844"
FR,F1230,"12.16","109.49","29010.89","63318.66"
HR,F1230,"0.28","0.49","1493.86","5659.4"
HU,F1230,"5.4","17.26","5210.49","9301.1"
IE,F1230,"0","0","4475.59","6979.7"
IT,F1230,"17.73","226.27","13034.85","30207.3"
LT,F1230,"0","0","2947.62","6528.6"
LU,F1230,"0","0","131.85","258.6"
LV,F1230,"0","0","1953.72","6457.3"
MT,F1230,"0","0","11.23","31.54"
NL,F1230,"0","0","1811.01","4154"
PL,F1230,"0.96","2.86","14572.84","31267.9"
PT,F1230,"0.54","3.68","3875.79","9222.6"
RO,F1230,"2.01","30.02","13348.99","23839.07"
SE,F1230,"0","0","3005","43857.4"
SI,F1230,"0.08","0.47","480.54","2027.3"
SK,F1230,"0.18","0.31","1902.42","4903.5"
