NUTS0_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,NUTS_AREA
AT,F1290,"0","0","2642.21","8387.9"
BE,F1290,"0","0","1355.86","3052.8"
BG,F1290,"0","0","5038.23","11037"
CY,F1290,"0.04","0.34","126.15","925.1"
CZ,F1290,"0","0","3524.38","7886.8"
DE,F1290,"0","0","16636.98","35737.6"
DK,F1290,"0","0","2625.64","4292.4"
EE,F1290,"0","0","985.41","4522.7"
EL,F1290,"0.83","10.4","5199.68","13204.9"
ES,F1290,"0.38","1.66","24253.86","50594.4"
FI,F1290,"0","0","2271.18","33844"
FR,F1290,"2.17","12.38","29010.89","63318.66"
HR,F1290,"0","0","1493.86","5659.4"
HU,F1290,"0.37","0.75","5210.49","9301.1"
IE,F1290,"0","0","4475.59","6979.7"
IT,F1290,"0.18","2.44","13034.85","30207.3"
LT,F1290,"0.01","0","2947.62","6528.6"
LU,F1290,"0","0","131.85","258.6"
LV,F1290,"0.2","0.06","1953.72","6457.3"
MT,F1290,"0","0","11.23","31.54"
NL,F1290,"0","0","1811.01","4154"
PL,F1290,"0","0","14572.84","31267.9"
PT,F1290,"0.18","0.68","3875.79","9222.6"
RO,F1290,"0","0","13348.99","23839.07"
SE,F1290,"0","0","3005","43857.4"
SI,F1290,"0","0","480.54","2027.3"
SK,F1290,"0.04","0.01","1902.42","4903.5"
