NUTS0_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,NUTS_AREA
AT,F1241,"0.02","0.76","2642.21","8387.9"
BE,F1241,"0.27","1.33","1355.86","3052.8"
BG,F1241,"1.17","4.65","5038.23","11037"
CY,F1241,"0","0","126.15","925.1"
CZ,F1241,"1.23","5.43","3524.38","7886.8"
DE,F1241,"1.88","12.82","16636.98","35737.6"
DK,F1241,"0.42","2.33","2625.64","4292.4"
EE,F1241,"0","0","985.41","4522.7"
EL,F1241,"0.15","0.7","5199.68","13204.9"
ES,F1241,"0.14","0.49","24253.86","50594.4"
FI,F1241,"0","0","2271.18","33844"
FR,F1241,"0.75","2.39","29010.89","63318.66"
HR,F1241,"2.27","6.9","1493.86","5659.4"
HU,F1241,"13.38","67.6","5210.49","9301.1"
IE,F1241,"0","0","4475.59","6979.7"
IT,F1241,"0.02","0.05","13034.85","30207.3"
LT,F1241,"0.74","0.47","2947.62","6528.6"
LU,F1241,"0","0","131.85","258.6"
LV,F1241,,,"1953.72","6457.3"
MT,F1241,"0","0","11.23","31.54"
NL,F1241,"0.25","4.2","1811.01","4154"
PL,F1241,"26.82","149.25","14572.84","31267.9"
PT,F1241,"0.1","0.21","3875.79","9222.6"
RO,F1241,"2.73","33.15","13348.99","23839.07"
SE,F1241,"0.04","0.13","3005","43857.4"
SI,F1241,"0.01","0.05","480.54","2027.3"
SK,F1241,"0.02","0.02","1902.42","4903.5"
