NUTS0_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,NUTS_AREA
AT,F1250,"0.2","16.75","2642.21","8387.9"
BE,F1250,"0.04","0.09","1355.86","3052.8"
BG,F1250,"8.01","57.39","5038.23","11037"
CY,F1250,"0.39","1.43","126.15","925.1"
CZ,F1250,"1.86","8.31","3524.38","7886.8"
DE,F1250,"4.83","48.93","16636.98","35737.6"
DK,F1250,"0.08","0.36","2625.64","4292.4"
EE,F1250,"0.02","0.03","985.41","4522.7"
EL,F1250,"2.21","23.47","5199.68","13204.9"
ES,F1250,"14.56","167.61","24253.86","50594.4"
FI,F1250,"0","0","2271.18","33844"
FR,F1250,"15.08","179.77","29010.89","63318.66"
HR,F1250,"4","9.22","1493.86","5659.4"
HU,F1250,"7.58","39.11","5210.49","9301.1"
IE,F1250,"0","0","4475.59","6979.7"
IT,F1250,"11.84","182.76","13034.85","30207.3"
LT,F1250,"0.74","0.42","2947.62","6528.6"
LU,F1250,"0.04","0.13","131.85","258.6"
LV,F1250,"0.09","0.09","1953.72","6457.3"
MT,F1250,"0","0","11.23","31.54"
NL,F1250,"0.27","6.64","1811.01","4154"
PL,F1250,"15.12","101.85","14572.84","31267.9"
PT,F1250,"1.8","21.92","3875.79","9222.6"
RO,F1250,"66.38","704.43","13348.99","23839.07"
SE,F1250,"0.04","0.24","3005","43857.4"
SI,F1250,"0.05","0.4","480.54","2027.3"
SK,F1250,"0.58","1.55","1902.42","4903.5"
