NUTS0_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,NUTS_AREA
AT,F4300,"0","0","2642.21","8387.9"
BE,F4300,"0","0","1355.86","3052.8"
BG,F4300,"1.05","0.8","5038.23","11037"
CY,F4300,"2.41","0.38","126.15","925.1"
CZ,F4300,"0","0","3524.38","7886.8"
DE,F4300,"0","0","16636.98","35737.6"
DK,F4300,"0","0","2625.64","4292.4"
EE,F4300,"0","0","985.41","4522.7"
EL,F4300,"16.75","24.36","5199.68","13204.9"
ES,F4300,"688.31","341.1","24253.86","50594.4"
FI,F4300,"0","0","2271.18","33844"
FR,F4300,"1.42","1.28","29010.89","63318.66"
HR,F4300,"0.62","0.24","1493.86","5659.4"
HU,F4300,"0.3","0.13","5210.49","9301.1"
IE,F4300,"0","0","4475.59","6979.7"
IT,F4300,"54.8","77.77","13034.85","30207.3"
LT,F4300,"0","0","2947.62","6528.6"
LU,F4300,"0","0","131.85","258.6"
LV,F4300,"0","0","1953.72","6457.3"
MT,F4300,"0","0","11.23","31.54"
NL,F4300,"0","0","1811.01","4154"
PL,F4300,"0","0","14572.84","31267.9"
PT,F4300,"46.43","29.11","3875.79","9222.6"
RO,F4300,"0","0","13348.99","23839.07"
SE,F4300,"0","0","3005","43857.4"
SI,F4300,"0.01","0","480.54","2027.3"
SK,F4300,"0","0","1902.42","4903.5"
