NUTS0_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,NUTS_AREA
AT,F1220,"0","0","2642.21","8387.9"
BE,F1220,"0","0","1355.86","3052.8"
BG,F1220,"0.13","0.99","5038.23","11037"
CY,F1220,"0.1","0.62","126.15","925.1"
CZ,F1220,"0","0","3524.38","7886.8"
DE,F1220,"0","0","16636.98","35737.6"
DK,F1220,"0","0","2625.64","4292.4"
EE,F1220,"0","0","985.41","4522.7"
EL,F1220,"8.78","134.41","5199.68","13204.9"
ES,F1220,"29.7","560.22","24253.86","50594.4"
FI,F1220,"0","0","2271.18","33844"
FR,F1220,"4.7","91.63","29010.89","63318.66"
HR,F1220,"0.21","1.14","1493.86","5659.4"
HU,F1220,"0.27","1.01","5210.49","9301.1"
IE,F1220,"0","0","4475.59","6979.7"
IT,F1220,"18.93","366.28","13034.85","30207.3"
LT,F1220,"0","0","2947.62","6528.6"
LU,F1220,"0","0","131.85","258.6"
LV,F1220,"0","0","1953.72","6457.3"
MT,F1220,"0","0","11.23","31.54"
NL,F1220,"0","0","1811.01","4154"
PL,F1220,"0","0","14572.84","31267.9"
PT,F1220,"0.91","9.88","3875.79","9222.6"
RO,F1220,"0.09","0.51","13348.99","23839.07"
SE,F1220,"0","0","3005","43857.4"
SI,F1220,"0","0","480.54","2027.3"
SK,F1220,"0","0","1902.42","4903.5"
