NUTS0_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,NUTS_AREA
AT,F1210,"0.18","2.16","2642.21","8387.9"
BE,F1210,"0","0","1355.86","3052.8"
BG,F1210,"3.08","26.96","5038.23","11037"
CY,F1210,"0.22","1.39","126.15","925.1"
CZ,F1210,"0.35","0.57","3524.38","7886.8"
DE,F1210,"0.11","0","16636.98","35737.6"
DK,F1210,"0","0","2625.64","4292.4"
EE,F1210,"0","0","985.41","4522.7"
EL,F1210,"33.09","728.01","5199.68","13204.9"
ES,F1210,"47.58","899.79","24253.86","50594.4"
FI,F1210,"0","0","2271.18","33844"
FR,F1210,"4.99","101.08","29010.89","63318.66"
HR,F1210,"0.65","3.23","1493.86","5659.4"
HU,F1210,"4.56","22.11","5210.49","9301.1"
IE,F1210,"0","0","4475.59","6979.7"
IT,F1210,"42.46","749.43","13034.85","30207.3"
LT,F1210,"0","0","2947.62","6528.6"
LU,F1210,"0","0","131.85","258.6"
LV,F1210,"0","0","1953.72","6457.3"
MT,F1210,"0","0","11.23","31.54"
NL,F1210,"0","0","1811.01","4154"
PL,F1210,"1.64","6.45","14572.84","31267.9"
PT,F1210,"2.88","31.3","3875.79","9222.6"
RO,F1210,"1.57","17.22","13348.99","23839.07"
SE,F1210,"0","0","3005","43857.4"
SI,F1210,"0.26","2.61","480.54","2027.3"
SK,F1210,"0.32","1.31","1902.42","4903.5"
