NUTS0_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,NUTS_AREA
AT,F1120,"0.51","60.67","2642.21","8387.9"
BE,F1120,"10.33","351.94","1355.86","3052.8"
BG,F1120,"0.55","3.5","5038.23","11037"
CY,F1120,"0.07","0.47","126.15","925.1"
CZ,F1120,"0.78","6.41","3524.38","7886.8"
DE,F1120,"2.14","37.99","16636.98","35737.6"
DK,F1120,"0.3","5.86","2625.64","4292.4"
EE,F1120,"0","0","985.41","4522.7"
EL,F1120,"4.52","76.42","5199.68","13204.9"
ES,F1120,"20.82","332.79","24253.86","50594.4"
FI,F1120,"0.05","0.22","2271.18","33844"
FR,F1120,"5.4","117.3","29010.89","63318.66"
HR,F1120,"0.77","3.01","1493.86","5659.4"
HU,F1120,"2.78","22.74","5210.49","9301.1"
IE,F1120,"0","0","4475.59","6979.7"
IT,F1120,"29.03","569.48","13034.85","30207.3"
LT,F1120,"0.83","1.84","2947.62","6528.6"
LU,F1120,"0.02","0.22","131.85","258.6"
LV,F1120,"0.2","0.5","1953.72","6457.3"
MT,F1120,"0","0","11.23","31.54"
NL,F1120,"9.97","369.04","1811.01","4154"
PL,F1120,"6.64","68.65","14572.84","31267.9"
PT,F1120,"11.31","183.69","3875.79","9222.6"
RO,F1120,"3.11","49.09","13348.99","23839.07"
SE,F1120,"0.11","1.74","3005","43857.4"
SI,F1120,"0.21","2.72","480.54","2027.3"
SK,F1120,"0.11","1.02","1902.42","4903.5"
