NUTS0_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,NUTS_AREA
AT,F1100,"7.06","316.05","2642.21","8387.9"
BE,F1100,"16.08","547.68","1355.86","3052.8"
BG,F1100,"4.49","47.86","5038.23","11037"
CY,F1100,"0.47","3.09","126.15","925.1"
CZ,F1100,"8.02","123.78","3524.38","7886.8"
DE,F1100,"36.21","1000.9","16636.98","35737.6"
DK,F1100,"1.67","35.64","2625.64","4292.4"
EE,F1100,"0.6","1.54","985.41","4522.7"
EL,F1100,"15.4","362.49","5199.68","13204.9"
ES,F1100,"53.98","953.97","24253.86","50594.4"
FI,F1100,"0.69","7.64","2271.18","33844"
FR,F1100,"56.52","1811.29","29010.89","63318.66"
HR,F1100,"5.42","70.55","1493.86","5659.4"
HU,F1100,"32.46","538.12","5210.49","9301.1"
IE,F1100,"0.71","19.34","4475.59","6979.7"
IT,F1100,"84.92","2841.55","13034.85","30207.3"
LT,F1100,"11.33","57.06","2947.62","6528.6"
LU,F1100,"0.21","1.7","131.85","258.6"
LV,F1100,"3.89","11.77","1953.72","6457.3"
MT,F1100,"0","0","11.23","31.54"
NL,F1100,"16.41","615.86","1811.01","4154"
PL,F1100,"166.4","3497.47","14572.84","31267.9"
PT,F1100,"26.66","516.66","3875.79","9222.6"
RO,F1100,"58.09","598.43","13348.99","23839.07"
SE,F1100,"1.55","29.05","3005","43857.4"
SI,F1100,"2.46","51.49","480.54","2027.3"
SK,F1100,"2.08","34.94","1902.42","4903.5"
