NUTS0_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,NUTS_AREA
AT,I1190,"34.67","24.86","2642.21","8387.9"
BE,I1190,"0.18","0","1355.86","3052.8"
BG,I1190,"5.84","4.38","5038.23","11037"
CY,I1190,"0.05","0.25","126.15","925.1"
CZ,I1190,"50.62","34.72","3524.38","7886.8"
DE,I1190,"6.18",,"16636.98","35737.6"
DK,I1190,"0","0","2625.64","4292.4"
EE,I1190,"6.01","2.98","985.41","4522.7"
EL,I1190,"1.43","1.84","5199.68","13204.9"
ES,I1190,"24.33","32.03","24253.86","50594.4"
FI,I1190,"0.46","0","2271.18","33844"
FR,I1190,"9.86","16.09","29010.89","63318.66"
HR,I1190,"4.58","4.53","1493.86","5659.4"
HU,I1190,"24.25","17.23","5210.49","9301.1"
IE,I1190,"0.01","0","4475.59","6979.7"
IT,I1190,"0.08","0.14","13034.85","30207.3"
LT,I1190,"7.37","5.78","2947.62","6528.6"
LU,I1190,"0.06","0.1","131.85","258.6"
LV,I1190,"0.7","0.4","1953.72","6457.3"
MT,I1190,"0","0","11.23","31.54"
NL,I1190,"0.56","0","1811.01","4154"
PL,I1190,"28.32","36.61","14572.84","31267.9"
PT,I1190,"0.93","0","3875.79","9222.6"
RO,I1190,"3.31","3.16","13348.99","23839.07"
SE,I1190,"0","0","3005","43857.4"
SI,I1190,"4.34","2.79","480.54","2027.3"
SK,I1190,"12.39","7.45","1902.42","4903.5"
