NUTS0_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,NUTS_AREA
AT,I9000,"0.39",,"2642.21","8387.9"
BE,I9000,"0.3",,"1355.86","3052.8"
BG,I9000,"0.35","0","5038.23","11037"
CY,I9000,"0",,"126.15","925.1"
CZ,I9000,"0.13",,"3524.38","7886.8"
DE,I9000,"3.5",,"16636.98","35737.6"
DK,I9000,"0",,"2625.64","4292.4"
EE,I9000,"0",,"985.41","4522.7"
EL,I9000,"0",,"5199.68","13204.9"
ES,I9000,"1.16",,"24253.86","50594.4"
FI,I9000,"0",,"2271.18","33844"
FR,I9000,"40.51",,"29010.89","63318.66"
HR,I9000,"0","0","1493.86","5659.4"
HU,I9000,"1.9",,"5210.49","9301.1"
IE,I9000,"0",,"4475.59","6979.7"
IT,I9000,"0",,"13034.85","30207.3"
LT,I9000,"0",,"2947.62","6528.6"
LU,I9000,"0.16",,"131.85","258.6"
LV,I9000,"0.42",,"1953.72","6457.3"
MT,I9000,"0",,"11.23","31.54"
NL,I9000,"0",,"1811.01","4154"
PL,I9000,"0",,"14572.84","31267.9"
PT,I9000,"1.42",,"3875.79","9222.6"
RO,I9000,"2.48",,"13348.99","23839.07"
SE,I9000,"0",,"3005","43857.4"
SI,I9000,"0","0","480.54","2027.3"
SK,I9000,"0",,"1902.42","4903.5"
