NUTS0_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,NUTS_AREA
AT,I1100,"163.38","391.94","2642.21","8387.9"
BE,I1100,"9.79","36.23","1355.86","3052.8"
BG,I1100,"992.02","2361.26","5038.23","11037"
CY,I1100,"0.06","0.31","126.15","925.1"
CZ,I1100,"463.23","1308.64","3524.38","7886.8"
DE,I1100,"1134.22","3717.94","16636.98","35737.6"
DK,I1100,"158.81","634.31","2625.64","4292.4"
EE,I1100,"79.84","180.91","985.41","4522.7"
EL,I1100,"99.74","1186.49","5199.68","13204.9"
ES,I1100,"787.41","1152.86","24253.86","50594.4"
FI,I1100,"40.67","55.81","2271.18","33844"
FR,I1100,"2087.65","6118.25","29010.89","63318.66"
HR,I1100,"168.62","462.4","1493.86","5659.4"
HU,I1100,"1017.61","2874.21","5210.49","9301.1"
IE,I1100,"10.35","42.74","4475.59","6979.7"
IT,I1100,"423.97",,"13034.85","30207.3"
LT,I1100,"254.31","720.29","2947.62","6528.6"
LU,I1100,"2.88","9.42","131.85","258.6"
LV,I1100,"134.64","370.56","1953.72","6457.3"
MT,I1100,"0","0","11.23","31.54"
NL,I1100,"3.92",,"1811.01","4154"
PL,I1100,"968.85","2669.53","14572.84","31267.9"
PT,I1100,"9.37","13.2","3875.79","9222.6"
RO,I1100,"1755.13","4545.46","13348.99","23839.07"
SE,I1100,"107.5","336.9","3005","43857.4"
SI,I1100,"9.84","17.37","480.54","2027.3"
SK,I1100,"276.9","757.08","1902.42","4903.5"
