NUTS0_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,NUTS_AREA
AT,V3100,"0.2","57.84","2642.21","8387.9"
BE,V3100,"0.58","275.79","1355.86","3052.8"
BG,V3100,"4.17","136.81","5038.23","11037"
CY,V3100,"0.27","14.94","126.15","925.1"
CZ,V3100,"0.24","9.42","3524.38","7886.8"
DE,V3100,"0.39","102.08","16636.98","35737.6"
DK,V3100,"0.03","11.69","2625.64","4292.4"
EE,V3100,"0","0","985.41","4522.7"
EE,V3100,"0","0.44","985.41","4522.7"
EL,V3100,"14.66","868.22","5199.68","13204.9"
ES,V3100,"57.1","4799.98","24253.86","50594.4"
FI,V3100,"0.1","39.6","2271.18","33844"
FR,V3100,"5.86","719.29","29010.89","63318.66"
HR,V3100,"0.39","25.86","1493.86","5659.4"
HU,V3100,"2.17","182.19","5210.49","9301.1"
IE,V3100,"0.01","3.78","4475.59","6979.7"
IT,V3100,"99.54","6096.86","13034.85","30207.3"
LT,V3100,"0.62","12.26","2947.62","6528.6"
LU,V3100,"0","0","131.85","258.6"
LV,V3100,"0","0","1953.72","6457.3"
MT,V3100,"0","0","11.23","31.54"
NL,V3100,"1.82","904","1811.01","4154"
PL,V3100,"10.95","865.41","14572.84","31267.9"
PT,V3100,"17.08","1549.61","3875.79","9222.6"
RO,V3100,"20.91","465.91","13348.99","23839.07"
SE,V3100,"0.04","17.22","3005","43857.4"
SI,V3100,"0.22","8.96","480.54","2027.3"
SK,V3100,"0.43","20.91","1902.42","4903.5"
