NUTS0_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,NUTS_AREA
AT,V3410,"0.01","1.32","2642.21","8387.9"
BE,V3410,"0.02","10.87","1355.86","3052.8"
BG,V3410,"0.4","10.41","5038.23","11037"
CY,V3410,"0.03","1.55","126.15","925.1"
CZ,V3410,"0","0","3524.38","7886.8"
DE,V3410,"0","0","16636.98","35737.6"
DK,V3410,"0","0","2625.64","4292.4"
EE,V3410,"0","0","985.41","4522.7"
EL,V3410,"1.52","61.96","5199.68","13204.9"
ES,V3410,"3.59","251.38","24253.86","50594.4"
FI,V3410,"0","0","2271.18","33844"
FR,V3410,"0.89","35.93","29010.89","63318.66"
HR,V3410,"0","0","1493.86","5659.4"
HU,V3410,"0.05","0.9","5210.49","9301.1"
IE,V3410,"0","0","4475.59","6979.7"
IT,V3410,"9.53","299.31","13034.85","30207.3"
LT,V3410,"0","0","2947.62","6528.6"
LU,V3410,"0","0","131.85","258.6"
LV,V3410,"0","0","1953.72","6457.3"
MT,V3410,"0","0","11.23","31.54"
NL,V3410,"0.12","59.6","1811.01","4154"
PL,V3410,"0.04","0.58","14572.84","31267.9"
PT,V3410,"0.12","7.46","3875.79","9222.6"
RO,V3410,"4.68","86.11","13348.99","23839.07"
SE,V3410,"0","0","3005","43857.4"
SI,V3410,"0.02","0.43","480.54","2027.3"
SK,V3410,"0.01","0.09","1902.42","4903.5"
