NUTS0_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,NUTS_AREA
AT,V2500,"0.68","12.79","2642.21","8387.9"
BE,V2500,"4.67","94.89","1355.86","3052.8"
BG,V2500,"0.1","0.52","5038.23","11037"
CY,V2500,"0.07","0.68","126.15","925.1"
CZ,V2500,"0.36","0","3524.38","7886.8"
CZ,V2500,"0.36","4.92","3524.38","7886.8"
DE,V2500,"3.82","75.81","16636.98","35737.6"
DK,V2500,"0.23","1.45","2625.64","4292.4"
EE,V2500,"0","0","985.41","4522.7"
EL,V2500,"8.55","79.95","5199.68","13204.9"
ES,V2500,"4.62","83.44","24253.86","50594.4"
FI,V2500,"0.04","0.46","2271.18","33844"
FR,V2500,"5.51","110.14","29010.89","63318.66"
HR,V2500,"0","0","1493.86","5659.4"
HU,V2500,"0.45","9.2","5210.49","9301.1"
IE,V2500,"0.24","3.43","4475.59","6979.7"
IT,V2500,"6.21","98.93","13034.85","30207.3"
LT,V2500,"0.07","0.39","2947.62","6528.6"
LU,V2500,"0","0","131.85","258.6"
LV,V2500,"0","0","1953.72","6457.3"
MT,V2500,"0","0","11.23","31.54"
NL,V2500,"3.25","69.58","1811.01","4154"
PL,V2500,"0.76","6.52","14572.84","31267.9"
PT,V2500,"0.68","9.18","3875.79","9222.6"
RO,V2500,"0.11","1.51","13348.99","23839.07"
SE,V2500,"0.07","0.23","3005","43857.4"
SI,V2500,"0.03","0.32","480.54","2027.3"
SK,V2500,"0.14","1.04","1902.42","4903.5"
