NUTS0_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,NUTS_AREA
AT,V5000,"3.44","17.8","2642.21","8387.9"
BE,V5000,"20.72","171.39","1355.86","3052.8"
BG,V5000,"1","5.38","5038.23","11037"
CY,V5000,"0.27","5.11","126.15","925.1"
CZ,V5000,"1.36","4.24","3524.38","7886.8"
DE,V5000,"10.2","74.67","16636.98","35737.6"
DK,V5000,"3.22","9.1","2625.64","4292.4"
EE,V5000,"0.37","0.64","985.41","4522.7"
EL,V5000,"6.44","67.5","5199.68","13204.9"
ES,V5000,"30.19","322.9","24253.86","50594.4"
FI,V5000,"4.85","7.21","2271.18","33844"
FR,V5000,"79.56","680.17","29010.89","63318.66"
HR,V5000,"1.02","7.07","1493.86","5659.4"
HU,V5000,"21.29","111.96","5210.49","9301.1"
IE,V5000,"0","0","4475.59","6979.7"
IT,V5000,"41.65","289.16","13034.85","30207.3"
LT,V5000,"0.53","0.7","2947.62","6528.6"
LU,V5000,"0","0","131.85","258.6"
LV,V5000,"0","0","1953.72","6457.3"
MT,V5000,"0","0","11.23","31.54"
NL,V5000,"7.96","74.52","1811.01","4154"
PL,V5000,"23.78","150.26","14572.84","31267.9"
PT,V5000,"3.29","29.95","3875.79","9222.6"
RO,V5000,"7.28","32.43","13348.99","23839.07"
SE,V5000,"4.22","16.62","3005","43857.4"
SI,V5000,"0.52","2.69","480.54","2027.3"
SK,V5000,"1.08","2.54","1902.42","4903.5"
