NUTS0_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,NUTS_AREA
AT,W1000,"45.64","331.26","2642.21","8387.9"
BE,W1000,"0.39","0","1355.86","3052.8"
BG,W1000,"31.11","183.98","5038.23","11037"
CY,W1000,"6.33","22.74","126.15","925.1"
CZ,W1000,"16.07","86.37","3524.38","7886.8"
DE,W1000,,,"16636.98","35737.6"
DK,W1000,"0","0","2625.64","4292.4"
EE,W1000,"0","0","985.41","4522.7"
EL,W1000,"99.48","877.59","5199.68","13204.9"
ES,W1000,"935.12","6204.16","24253.86","50594.4"
FI,W1000,"0","0","2271.18","33844"
FR,W1000,"754.69","5545.26","29010.89","63318.66"
HR,W1000,"20.98","122.12","1493.86","5659.4"
HU,W1000,"63.35","478.54","5210.49","9301.1"
IE,W1000,"0","0","4475.59","6979.7"
IT,W1000,"690.08","7991.05","13034.85","30207.3"
LT,W1000,"0","0","2947.62","6528.6"
LU,W1000,"1.24","13.09","131.85","258.6"
LV,W1000,"0","0","1953.72","6457.3"
MT,W1000,"0.49","3.3","11.23","31.54"
NL,W1000,"0.17","1.71","1811.01","4154"
PL,W1000,"0.83","3.44","14572.84","31267.9"
PT,W1000,"177.02","878.81","3875.79","9222.6"
RO,W1000,"170.73","1023.19","13348.99","23839.07"
SE,W1000,"0.06","0.09","3005","43857.4"
SI,W1000,"15.45","101.99","480.54","2027.3"
SK,W1000,"7.98","46.46","1902.42","4903.5"
