NUTS0_CODE;CROP_CODE;AREA_AV;PROD_AV;UAA_AV;NUTS_AREA
AT;W1100;"45.64";"331.26";"2642.21";"8387.9"
BE;W1100;"0";"0";"1355.86";"3052.8"
BG;W1100;"29.01";"169.9";"5038.23";"11037"
CY;W1100;"5.7";"18.85";"126.15";"925.1"
CZ;W1100;"16.07";"86.37";"3524.38";"7886.8"
DE;W1100;"100.48";"1168.77";"16636.98";"35737.6"
DK;W1100;"0";"0";"2625.64";"4292.4"
EE;W1100;"0";"0";"985.41";"4522.7"
EL;W1100;"61.96";"459.53";"5199.68";"13204.9"
ES;W1100;"918.67";"5906.13";"24253.86";"50594.4"
FI;W1100;"0";"0";"2271.18";"33844"
FR;W1100;"749.19";"5504.64";"29010.89";"63318.66"
HR;W1100;"20.74";"120.55";"1493.86";"5659.4"
HU;W1100;"60.7";"466.22";"5210.49";"9301.1"
IE;W1100;"0";"0";"4475.59";"6979.7"
IT;W1100;"640.65";"6958.26";"13034.85";"30207.3"
LT;W1100;"0";"0";"2947.62";"6528.6"
LU;W1100;"1.24";"13.03";"131.85";"258.6"
LV;W1100;"0";"0";"1953.72";"6457.3"
MT;W1100;"0.44";"3.1";"11.23";"31.54"
NL;W1100;"0.17";"1.71";"1811.01";"4154"
PL;W1100;"0";"0";"14572.84";"31267.9"
PT;W1100;"174.89";"859.79";"3875.79";"9222.6"
RO;W1100;"164.35";"967.35";"13348.99";"23839.07"
SE;W1100;"0.06";"0.09";"3005";"43857.4"
SI;W1100;"15.43";"101.84";"480.54";"2027.3"
SK;W1100;"7.76";"45.76";"1902.42";"4903.5"
