NUTS2_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV
AT11,V2600,"0.0268","0.05286","185.08"
AT12,V2600,"0.538","1.93635","878.73"
AT21,V2600,"0.052313333","0.182315","210.216"
AT22,V2600,"0.033866667","0.138466667","362.742"
AT31,V2600,"0.126666667","0.465833333","507.71"
AT32,V2600,"0.0002","0.0005","173.67"
AT33,V2600,"0.005333333","0.021833333","241.6"
AT34,V2600,"0.002633333","0.014066667","76.8"
BE10,V2600,"3.33333E-06",,"3.048"
BE21,V2600,"0.100351667",,"96.518"
BE22,V2600,"0.2971",,"86.294"
BE23,V2600,"0.019368333",,"147.72"
BE24,V2600,"0.029116667",,"88.31"
BE25,V2600,"0.020433333",,"201.36"
BE31,V2600,"0.037295",,"64.704"
BE32,V2600,"0.00638",,"209.64"
BE33,V2600,"0.02488",,"158.78"
BE34,V2600,"0.002933333",,"143.332"
BE35,V2600,"0.016756667",,"156.166"
EL30,V2600,"0.0002","0.00155","81.57"
EL41,V2600,"0.003","0.005083333","188.556"
EL42,V2600,"0.0004","0.002366","139.13"
EL43,V2600,"0.0088","0.06377","702.23"
EL51,V2600,"1.141233333","7.811335","495.346"
EL52,V2600,"0.4994","2.606236","762.608"
EL53,V2600,"0.0059","0.059505333","303.634"
EL54,V2600,"0.025433333","0.145004667","315.176"
EL61,V2600,"0.0002","0.00202","655.526"
EL62,V2600,"0","0","93.174"
EL63,V2600,"0.2225","1.27563","455.556"
EL64,V2600,"0.001033333","0.009113333","519.714"
EL65,V2600,"0.000966667","0.0118","487.454"
ES21,V2600,"0.001","0.004","201.348"
ES22,V2600,"2.165","7.995","424.964"
ES23,V2600,"0.101","0.412","236.484"
ES24,V2600,"0.075","0.267","2342.764"
ES30,V2600,"0.106","0.773","341.626"
ES41,V2600,"0.153","0.817","5161.37"
ES42,V2600,"1.064","4.893","3999.056"
ES43,V2600,"0.882","4.464","2610.714"
ES51,V2600,"0.014","0.03","1064.22"
ES52,V2600,"0.022","0.146","694.464"
ES61,V2600,"9.608","45.163","4812.198"
ES62,V2600,"0.024","0.13","408.208"
FR10,V2600,"0.1275","0.385325","585.9075"
FRB0,V2600,"0.39875","1.526475","2389.865"
FRC1,V2600,"0.025625","0.105925","1833.285"
FRC2,V2600,"0.025625","0.105925","715.8175"
FRD1,V2600,"0.0065","0.0201125","1271.58"
FRD2,V2600,"0.0065","0.0201125","805.5025"
FRE1,V2600,"0.0389375","0.15000625","829.13"
FRE2,V2600,"0.0389375","0.15000625","1352.9025"
FRF1,V2600,"0.196916667","0.856533333","343.25"
FRF2,V2600,"0.196916667","0.856533333","1546.6725"
FRF3,V2600,"0.196916667","0.856533333","1168.3525"
FRG0,V2600,"0.30225","1.3501","2280.5775"
FRH0,V2600,"0.005","0.0401","1779.7475"
FRI1,V2600,"0.507166667","2.5163","1592.24"
FRI2,V2600,"0.507166667","2.5163","887.255"
FRI3,V2600,"0.507166667","2.5163","1766.435"
FRJ1,V2600,"0.475625","2.203575","1012.5075"
FRJ2,V2600,"0.475625","2.203575","2497.3175"
FRK1,V2600,"0.1245","0.590283333","1491.04"
FRK2,V2600,"0.1245","0.590283333","1583.7075"
FRL0,V2600,"0.288","0.948475","794.25"
FRM0,V2600,"0","0","302.1475"
FRY1,V2600,"0","0","49.2075"
FRY2,V2600,"0","0","31.24"
FRY3,V2600,"0","0","32.2275"
FRY4,V2600,"0.001","0.002","48.285"
FRY5,V2600,"0","0","20.0075"
HU11,V2600,"0.004","0.0136","34.332"
HU12,V2600,"0.007","0.0148","311.614"
HU21,V2600,"0.0066","0.0238","578.412"
HU22,V2600,"0.001","0.0022","565.332"
HU23,V2600,"0.0262","0.0516","745.852"
HU31,V2600,"0.007","0.0106","587.718"
HU32,V2600,"0.138","0.4394","1174.514"
HU33,V2600,"1.2292","5.395","1212.722"
ITC1,V2600,"0.2936",N/A,"890.22"
ITC3,V2600,"0.03",N/A,"57.746"
ITC4,V2600,"0.0544",N/A,"1056.448"
ITF1,V2600,"0.014",N/A,"486.624"
ITF2,V2600,"0.033",N/A,"193.942"
ITF3,V2600,"0.015",N/A,"568.682"
ITF4,V2600,"1.7",N/A,"1551.75"
ITF5,V2600,"0.0708",N/A,"450.412"
ITF6,V2600,"0.0164",N/A,"523.596"
ITG1,V2600,"0.0302",N/A,"1483.86"
ITG2,V2600,"0.151",N/A,"1118.888"
ITH1,V2600,"0.0274",N/A,"236.326"
ITH2,V2600,"0.0258",N/A,"136.142"
ITH3,V2600,"1.8844",N/A,"794.912"
ITH4,V2600,"0.153",N/A,"228.508"
ITH5,V2600,"0.752",N/A,"1044.96"
ITI1,V2600,"0.164",N/A,"673.39"
ITI3,V2600,"0.034",N/A,"407.384"
ITI4,V2600,"0.4702",N/A,"743.904"
