NUTS2_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV
AT,R2000,"33.2","2443.64","2642.21"
AT1,R2000,"26.84","1880.75","1069.47"
AT11,R2000,"2.56","170.66","185.08"
AT12,R2000,"24.13","1698.67","878.73"
AT13,R2000,"0.16","11.43","5.66"
AT2,R2000,"0.28","18.35","572.96"
AT21,R2000,"0.02","1.11","210.22"
AT22,R2000,"0.27","17.25","362.74"
AT3,R2000,"6.08","544.53","999.78"
AT31,R2000,"6.08","544.47","507.71"
AT32,R2000,"0","0","173.67"
AT33,R2000,"0","0","241.6"
AT34,R2000,"0","0","76.8"
BE,R2000,"58.94","5107.92","1355.86"
BE1,R2000,"0.2","17.02","3.05"
BE10,R2000,"0.2","17.02","3.05"
BE2,R2000,"19.19","1617.19","620.2"
BE21,R2000,"0.46","33.27","96.52"
BE22,R2000,"4.18","367.24","86.29"
BE23,R2000,"2.97","241.97","147.72"
BE24,R2000,"4.73","418.37","88.31"
BE25,R2000,"6.84","556.34","201.36"
BE3,R2000,"39.56","3473.72","732.62"
BE31,R2000,"7.31","651.77","64.7"
BE32,R2000,"16.82","1486.86","209.64"
BE33,R2000,"7.4","677.74","158.78"
BE34,R2000,"0.06","4.94","143.33"
BE35,R2000,"7.97","652.41","156.17"
BG,R2000,"0","0","5038.23"
BG1,R2000,"0",,
BG1,R2000,"0","0",
BG3,R2000,,,"3662.04"
BG31,R2000,,,"1055.2"
BG32,R2000,,,"805.59"
BG33,R2000,,,"881.48"
BG34,R2000,,,"919.77"
BG4,R2000,,,"1376.19"
BG41,R2000,,,"593.44"
BG42,R2000,,,"782.75"
CY,R2000,"0","0","126.15"
CZ,R2000,"62.2","3920.31","3524.38"
CZ0,R2000,"62.2","3920.31","3524.38"
CZ01,R2000,"0.27","16.96","10.9"
CZ02,R2000,"17.1","1081.69","552.22"
CZ03,R2000,"0","0.15","739.16"
CZ03,R2000,"0","0","739.16"
CZ04,R2000,"4.13","260.66","316.62"
CZ05,R2000,"15.74","1000.69","569.83"
CZ06,R2000,"4.67","270.2","725.49"
CZ07,R2000,"13.76","875","397.31"
CZ08,R2000,"6.54","414.97","212.85"
DE,R2000,"401.2","30108.62","16636.98"
DE1,R2000,"19.98","1529.26","1412.48"
DE11,R2000,"19.98","1529.26",
DE12,R2000,,,
DE13,R2000,,,
DE14,R2000,,,
DE2,R2000,"66.82","5651.84","3107.04"
DE21,R2000,"66.82","5651.84",
DE22,R2000,,,
DE23,R2000,,,
DE24,R2000,,,
DE25,R2000,,,
DE26,R2000,,,
DE27,R2000,,,
DE3,R2000,"0",,"1.84"
DE30,R2000,,,
DE4,R2000,"6.96","435.84","1316"
DE40,R2000,"6.96","435.84",
DE5,R2000,"0",,"8.02"
DE50,R2000,,,
DE6,R2000,"0",,"14.6"
