NUTS2_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV
,V2800,"0.07315","1.4985","126.15"
,V2800,"0.007566667","0.111591","81.57"
,V2800,"0.024833333","0.133986667","188.556"
,V2800,"0.036566667","0.326826667","139.13"
,V2800,"0.4162","4.185194333","702.23"
,V2800,"0.001033333","0.007973333","495.346"
,V2800,"0.005","0.058086667","762.608"
,V2800,"3.33333E-05","0.000266667","303.634"
,V2800,"0.0013","0.016573333","315.176"
,V2800,"0.005266667","0.063245","655.526"
,V2800,"0.016866667","0.250350333","93.174"
,V2800,"0.0155","0.19145","455.556"
,V2800,"0.002866667","0.030602333","519.714"
,V2800,"0.373066667","6.018248333","487.454"
,V2800,"0.002","0.021","431.53"
,V2800,"0.001","0.012","201.348"
,V2800,"1.279","15.216","424.964"
,V2800,"0.141","1.727","236.484"
,V2800,"0.02","0.164","2342.764"
,V2800,"0.029","0.383","341.626"
,V2800,"0.019","0.109","5161.37"
,V2800,"0.178","2.383","3999.056"
,V2800,"0.002","0.027","2610.714"
,V2800,"0.892","12.202","1064.22"
,V2800,"4.02","59.089","694.464"
,V2800,"0.059","0.841","217.074"
,V2800,"1.504","21.236","4812.198"
,V2800,"5.605","83.515","408.208"
,V2800,"0.011","0.04","111.274"
,V2800,"0.006","0.041475","585.9075"
,V2800,"0.00575","0.0253","2389.865"
,V2800,"0","0","1833.285"
,V2800,"0","0","715.8175"
,V2800,"0.003","0.0143125","1271.58"
,V2800,"0.003","0.0143125","805.5025"
,V2800,"0.002","0.01224375","829.13"
,V2800,"0.002","0.01224375","1352.9025"
,V2800,"0","0","343.25"
,V2800,"0","0","1546.6725"
,V2800,"0","0","1168.3525"
,V2800,"0.0155","0.0781","2280.5775"
,V2800,"4.621","26.485","1779.7475"
,V2800,"0.010916667","0.054575","1592.24"
,V2800,"0.010916667","0.054575","887.255"
,V2800,"0.010916667","0.054575","1766.435"
,V2800,"0.333125","3.711675","1012.5075"
,V2800,"0.333125","3.711675","2497.3175"
,V2800,"0","0","1491.04"
,V2800,"0","0","1583.7075"
,V2800,"0.1085","0.633625","794.25"
,V2800,"0.024","0.4076","302.1475"
,V2800,"0","0","49.2075"
,V2800,"0","0","31.24"
,V2800,"0","0","32.2275"
,V2800,"0.015","0.12","48.285"
,V2800,"0","0","20.0075"
,V2800,"0.0048","0.0482","1174.514"
,V2800,"0.0902",N/A,"57.746"
,V2800,"0.0145",N/A,"1056.448"
,V2800,"0.4376",N/A,"486.624"
,V2800,"0.116",N/A,"193.942"
,V2800,"0.9294",N/A,"568.682"
,V2800,"12.056",N/A,"1551.75"
,V2800,"0.4304",N/A,"450.412"
,V2800,"0.3126",N/A,"523.596"
,V2800,"15.1918",N/A,"1483.86"
,V2800,"7.9426",N/A,"1118.888"
,V2800,"0.0342",N/A,"794.912"
,V2800,"0.0926",N/A,"1044.96"
,V2800,"0.6298",N/A,"673.39"
,V2800,"0.011",N/A,"329.268"
,V2800,"0.0728",N/A,"407.384"
,V2800,"0.9796",N/A,"743.904"
