NUTS2_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV
,S0000,"0.000238333",,"3.048"
,S0000,"0.379731667",,"96.518"
,S0000,"0.209935",,"86.294"
,S0000,"0.03471",,"147.72"
,S0000,"0.031018333",,"88.31"
,S0000,"0.07965",,"201.36"
,S0000,"0.013146667",,"64.704"
,S0000,"0.026423333",,"209.64"
,S0000,"0.027091667",,"158.78"
,S0000,"0.000596667",,"143.332"
,S0000,"0.02891",,"156.166"
,S0000,,"1.6135","126.15"
,S0000,"0.034543333","0.132138333","10.898"
,S0000,"0.162561667","0.676586667","552.224"
,S0000,"0.048986667","0.185395","739.158"
,S0000,"0.12532","0.453376667","316.616"
,S0000,"0.050216667","0.187016667","569.826"
,S0000,"0.092903333","0.3435","725.494"
,S0000,"0.057646667","0.244573333","397.306"
,S0000,"0.004073333","0.016828333","212.85"
,S0000,"0.065916667",N/A,"102.512"
,S0000,"0.389166667",N/A,"472.124"
,S0000,"0.236333333",N/A,"773.656"
,S0000,"0.133",N/A,"790.678"
,S0000,"0.127833333",N/A,"486.67"
,S0000,"0.702666667","1.683333333",
,S0000,"0.0138","0.33384","81.57"
,S0000,"0.000766667","0.006623333","188.556"
,S0000,"0.001866667","0.024845","139.13"
,S0000,"0.022733333","0.542859333","702.23"
,S0000,"0.0071","0.199737333","495.346"
,S0000,"0.019666667","0.552209667","762.608"
,S0000,"0.0037","0.037161","303.634"
,S0000,"0.005733333","0.020203333","315.176"
,S0000,"0.002","0.024636667","655.526"
,S0000,"0.000833333","0.013466667","93.174"
,S0000,"1.556633333","77.71731333","455.556"
,S0000,"0.0029","0.053546","519.714"
,S0000,"0.010433333","0.103978333","487.454"
,S0000,"0.08","2.023","936.598"
,S0000,"0.009","0.044","431.53"
,S0000,"0.002","0.067","259.972"
,S0000,"0.005","0.021","201.348"
,S0000,"0.001","0.002","424.964"
,S0000,"0.001","0.008","236.484"
,S0000,"0.01","0.293","2342.764"
,S0000,"0.02","0.286","341.626"
,S0000,"0.104","2.241","5161.37"
,S0000,"0.005","0.062","2610.714"
,S0000,"0.064","1.964","1064.22"
,S0000,"0.003","0.087","694.464"
,S0000,"0.028","0.371","217.074"
,S0000,"6.936","262.757","4812.198"
,S0000,"0.08","2.319","111.274"
,S0000,"0.075","0.677325","585.9075"
,S0000,"0.287","3.005","2389.865"
,S0000,"0.014","0.3061875","1833.285"
,S0000,"0.014","0.3061875","715.8175"
,S0000,"0.0455","0.5493125","1271.58"
,S0000,"0.0455","0.5493125","805.5025"
,S0000,"0.0545","1.07905","829.13"
,S0000,"0.0545","1.07905","1352.9025"
,S0000,"0.093333333","0.664616667","343.25"
,S0000,"0.093333333","0.664616667","1546.6725"
,S0000,"0.093333333","0.664616667","1168.3525"
,S0000,"0.094","2.071575","2280.5775"
,S0000,"0.134","3.577375","1779.7475"
,S0000,"0.345416667","6.301958333","1592.24"
,S0000,"0.345416667","6.301958333","887.255"
,S0000,"0.345416667","6.301958333","1766.435"
,S0000,"0.15875","2.2439125","1012.5075"
,S0000,"0.15875","2.2439125","2497.3175"
,S0000,"0.194166667","3.482383333","1491.04"
,S0000,"0.194166667","3.482383333","1583.7075"
,S0000,"0.34875","8.07685","794.25"
,S0000,"0.016","0.494725","302.1475"
,S0000,"0.001","0.0025","49.2075"
,S0000,"0","0","31.24"
,S0000,"0","0","32.2275"
,S0000,"0.021","0.378","48.285"
,S0000,"0","0","20.0075"
,S0000,"0.1126","0.677","311.614"
,S0000,"0.0188","0.1078","578.412"
,S0000,"0.0734","0.4208","565.332"
,S0000,"0.125","0.753","745.852"
,S0000,"0.041","0.2114","587.718"
,S0000,"0.088","0.516","1174.514"
,S0000,"0.3274","2.531","1212.722"
,S0000,"0.1482",N/A,"890.22"
,S0000,"0.0012",N/A,"57.894"
,S0000,"0.001",N/A,"57.746"
,S0000,"0.0544",N/A,"1056.448"
,S0000,"0.1128",N/A,"486.624"
,S0000,"0.056",N/A,"193.942"
,S0000,"0.0096",N/A,"568.682"
,S0000,"0.0456",N/A,"1551.75"
,S0000,"0.147",N/A,"523.596"
,S0000,"0.4388",N/A,"1483.86"
,S0000,"0.0126",N/A,"1118.888"
,S0000,"0.103",N/A,"236.326"
,S0000,"0.12",N/A,"136.142"
,S0000,"0.0652",N/A,"794.912"
,S0000,"0.007",N/A,"228.508"
,S0000,"0.2216",N/A,"1044.96"
,S0000,"0.0968",N/A,"673.39"
,S0000,"0.034",N/A,"407.384"
,S0000,"0.2334",N/A,"743.904"
,S0000,"0.85",N/A,"545.676"
,S0000,"0.3",N/A,"364.608"
,S0000,"1.15",N/A,"1733.386"
,S0000,"0.4",N/A,"858.926"
,S0000,"0.35",N/A,"409.67"
,S0000,"1.25",N/A,"891.456"
,S0000,"0.1",N/A,"504.416"
,S0000,"0.75",N/A,"1046.078"
,S0000,"0.25",N/A,"985.344"
,S0000,"0.95",N/A,"747.882"
,S0000,"2.2",N/A,"985.048"
,S0000,"2.35",N/A,"478.63"
,S0000,"4.35",N/A,"1403.314"
,S0000,"0.35",N/A,"555.424"
,S0000,"0.25",N/A,"1080.124"
,S0000,"16.45",N/A,"1675.986"
