NUTS2_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV
AT,I1130,"69.31","208.53","2642.21"
AT1,I1130,"43.2","124.64","1069.47"
AT11,I1130,"22.99","64.81","185.08"
AT12,I1130,"20.03","59.32","878.73"
AT13,I1130,"0.18","0.5","5.66"
AT2,I1130,"10.44","34.2","572.96"
AT21,I1130,"3.77","11.29","210.22"
AT22,I1130,"6.67","22.91","362.74"
AT3,I1130,"15.67","49.69","999.78"
AT31,I1130,"15.62","49.53","507.71"
AT32,I1130,"0.04","0.14","173.67"
AT33,I1130,"0.01","0.02","241.6"
AT33,I1130,"0.01","0","241.6"
AT34,I1130,"0","0","76.8"
BE,I1130,"0","0","1355.86"
BE1,I1130,"0","0","3.05"
BE10,I1130,"0","0","3.05"
BE2,I1130,"0","0","620.2"
BE21,I1130,"0","0","96.52"
BE22,I1130,"0","0","86.29"
BE23,I1130,"0","0","147.72"
BE24,I1130,"0","0","88.31"
BE25,I1130,"0","0","201.36"
BE3,I1130,"0","0","732.62"
BE31,I1130,"0","0","64.7"
BE32,I1130,"0","0","209.64"
BE33,I1130,"0","0","158.78"
BE34,I1130,"0","0","143.33"
BE35,I1130,"0","0","156.17"
BG,I1130,"4.84","8.44","5038.23"
BG1,I1130,,,
BG3,I1130,"7.7","13.03","3662.04"
BG3,I1130,"7.7",,"3662.04"
BG31,I1130,"4.64","8","1055.2"
BG31,I1130,"4.64",,"1055.2"
BG32,I1130,"1.93","3.52","805.59"
BG32,I1130,"1.93",,"805.59"
BG33,I1130,"0.65","0.83","881.48"
BG33,I1130,"0.65",,"881.48"
BG34,I1130,"0.5","0.69","919.77"
BG34,I1130,"0.5",,"919.77"
BG4,I1130,"0.32","0.52","1376.19"
BG4,I1130,"0.32",,"1376.19"
BG41,I1130,"0.03","0.08","593.44"
BG41,I1130,"0.03",,"593.44"
BG42,I1130,"0","0","782.75"
BG42,I1130,"0",,"782.75"
CY,I1130,"0","0","126.15"
CZ,I1130,"15.33","34.92","3524.38"
CZ0,I1130,"15.33","34.92","3524.38"
CZ01,I1130,"0.18","0.43","10.9"
CZ02,I1130,"3.13","7.08","552.22"
CZ03,I1130,"0.62","1.29","739.16"
CZ04,I1130,"0.6","1.35","316.62"
CZ05,I1130,"3.88","8.74","569.83"
CZ06,I1130,"1.85","4.21","725.49"
CZ07,I1130,"2.83","6.71","397.31"
CZ08,I1130,"2.25","5.11","212.85"
DE,I1130,"28.02","81.12","16636.98"
DE1,I1130,"7.44","21.64","1412.48"
DE11,I1130,,,
DE12,I1130,,,
DE13,I1130,,,
DE14,I1130,,,
DE2,I1130,"14.76","46.34","3107.04"
DE21,I1130,,,
DE22,I1130,,,
DE23,I1130,,,
DE24,I1130,,,
DE25,I1130,,,
DE26,I1130,,,
DE27,I1130,,,
DE3,I1130,"0",,"1.84"
DE30,I1130,,,
DE4,I1130,"0.62","1.1","1316"
DE40,I1130,,,
DE5,I1130,"0",,"8.02"
DE50,I1130,,,
DE6,I1130,"0",,"14.6"
DE60,I1130,,,
DE7,I1130,"1.27",,"768"
DE7,I1130,"1.27","3.53","768"
DE71,I1130,,,
DE72,I1130,,,
DE73,I1130,,,
DE8,I1130,"0.22","0.34","1346.2"
DE80,I1130,,,
DE9,I1130,"0.83",,"2581.64"
DE9,I1130,"0.83","2.03","2581.64"
DE91,I1130,,,
DE92,I1130,,,
DE93,I1130,,,
DE94,I1130,,,
DEA,I1130,"0.7",,"1473.78"
DEA,I1130,"0.7","2.1","1473.78"
DEA1,I1130,,,
DEA2,I1130,,,
DEA3,I1130,,,
DEA4,I1130,,,
DEA5,I1130,,,
DEB,I1130,"0.35",,"706.46"
DEB1,I1130,,,
DEB2,I1130,,,
DEB3,I1130,,,
DEC,I1130,"0",,"74.62"
DEC0,I1130,,,
DED,I1130,"0.62","1.38","899.34"
DED2,I1130,,,
DED4,I1130,,,
DED5,I1130,,,
DEE,I1130,"1.14","2.24","1165.58"
DEE0,I1130,,,
DEF,I1130,"0.07","0","985.4"
DEF,I1130,"0.07",,"985.4"
DEF0,I1130,,,
DEG,I1130,"0.36","0.72","775.98"
DEG0,I1130,,,
DEW,I1130,,,
DK,I1130,"0","0","2625.64"
DK0,I1130,"0","0","2625.64"
DK01,I1130,"0","0","102.51"
DK02,I1130,"0","0","472.12"
DK03,I1130,"0","0","773.66"
DK04,I1130,"0","0","790.68"
DK05,I1130,"0","0","486.67"
EE,I1130,"0","0","985.41"
EE0,I1130,"0","0",
EL,I1130,"0.98","2.44","5199.68"
EL1,I1130,,,
EL11,I1130,,,
EL12,I1130,,,
EL13,I1130,,,
EL14,I1130,,,
EL2,I1130,,,
EL21,I1130,,,
EL22,I1130,,,
EL23,I1130,,,
EL24,I1130,,,
EL25,I1130,,,
EL3,I1130,"0","0","81.57"
EL30,I1130,"0","0","81.57"
EL4,I1130,"0","0","1029.92"
EL41,I1130,"0","0","188.56"
EL41_42,I1130,,,
EL42,I1130,"0","0","139.13"
EL43,I1130,"0","0","702.23"
EL5,I1130,"0.95","2.34","1876.77"
EL51,I1130,"0.88","2.12","495.35"
EL52,I1130,"0.07","0.2","762.61"
EL53,I1130,"0","0","303.63"
