NUTS2_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV
AT,I2300,"0","0","2642.21"
AT1,I2300,"0","0","1069.47"
AT11,I2300,"0","0","185.08"
AT12,I2300,"0","0","878.73"
AT13,I2300,"0","0","5.66"
AT2,I2300,"0","0","572.96"
AT21,I2300,"0","0","210.22"
AT22,I2300,"0","0","362.74"
AT3,I2300,"0","0","999.78"
AT31,I2300,"0","0","507.71"
AT32,I2300,"0","0","173.67"
AT33,I2300,"0","0","241.6"
AT34,I2300,"0","0","76.8"
BE,I2300,"0","0","1355.86"
BE1,I2300,"0","0","3.05"
BE10,I2300,"0","0","3.05"
BE2,I2300,"0","0","620.2"
BE21,I2300,"0","0","96.52"
BE22,I2300,"0","0","86.29"
BE23,I2300,"0","0","147.72"
BE24,I2300,"0","0","88.31"
BE25,I2300,"0","0","201.36"
BE3,I2300,"0","0","732.62"
BE31,I2300,"0","0","64.7"
BE32,I2300,"0","0","209.64"
BE33,I2300,"0","0","158.78"
BE34,I2300,"0","0","143.33"
BE35,I2300,"0","0","156.17"
BG,I2300,"3.41","2.77","5038.23"
BG1,I2300,,,
BG3,I2300,"1.77","1.18","3662.04"
BG3,I2300,"1.77",,"3662.04"
BG31,I2300,"0",,"1055.2"
BG31,I2300,"0","0","1055.2"
BG32,I2300,"0",,"805.59"
BG32,I2300,"0","0","805.59"
BG33,I2300,"0",,"881.48"
BG33,I2300,"0","0","881.48"
BG34,I2300,"1.77","1.18","919.77"
BG34,I2300,"1.77",,"919.77"
BG4,I2300,"2.28","1.32","1376.19"
BG4,I2300,"2.28",,"1376.19"
BG41,I2300,"0.02",,"593.44"
BG41,I2300,"0.02","0.03","593.44"
BG42,I2300,"2.26","1.29","782.75"
BG42,I2300,"2.26",,"782.75"
CY,I2300,"0","0","126.15"
CZ,I2300,"0","0","3524.38"
CZ0,I2300,"0","0","3524.38"
CZ01,I2300,"0","0","10.9"
CZ02,I2300,"0","0","552.22"
CZ03,I2300,"0","0","739.16"
CZ04,I2300,"0","0","316.62"
CZ05,I2300,"0","0","569.83"
CZ06,I2300,"0","0","725.49"
CZ07,I2300,"0","0","397.31"
CZ08,I2300,"0","0","212.85"
DE,I2300,"0","0","16636.98"
DE1,I2300,"0","0","1412.48"
DE11,I2300,"0","0",
DE12,I2300,"0","0",
DE13,I2300,"0","0",
DE14,I2300,"0","0",
DE2,I2300,"0","0","3107.04"
DE21,I2300,"0","0",
DE22,I2300,"0","0",
DE23,I2300,"0","0",
DE24,I2300,"0","0",
DE25,I2300,"0","0",
DE26,I2300,"0","0",
DE27,I2300,"0","0",
DE3,I2300,"0","0","1.84"
DE30,I2300,"0","0",
DE4,I2300,"0","0","1316"
DE40,I2300,"0","0",
DE5,I2300,"0","0","8.02"
DE50,I2300,"0","0",
DE6,I2300,"0","0","14.6"
DE60,I2300,"0","0",
DE7,I2300,"0","0","768"
DE71,I2300,"0","0",
DE72,I2300,"0","0",
DE73,I2300,"0","0",
DE8,I2300,"0","0","1346.2"
DE80,I2300,"0","0",
DE9,I2300,"0","0","2581.64"
DE91,I2300,"0","0",
DE92,I2300,"0","0",
DE93,I2300,"0","0",
DE94,I2300,"0","0",
DEA,I2300,"0","0","1473.78"
DEA1,I2300,"0","0",
DEA2,I2300,"0","0",
DEA3,I2300,"0","0",
DEA4,I2300,"0","0",
DEA5,I2300,"0","0",
DEB,I2300,"0","0","706.46"
DEB1,I2300,"0","0",
DEB2,I2300,"0","0",
DEB3,I2300,"0","0",
DEC,I2300,"0","0","74.62"
