NUTS2_CODE;CROP_CODE;AREA_AV;PROD_AV;UAA_AV
AT;I1120;"22.59";"61.9";"2642.21"
AT1;I1120;"21.63";"59.61";"1069.47"
AT11;I1120;"4.02";"10.45";"185.08"
AT12;I1120;"17.57";"49.07";"878.73"
AT13;I1120;"0.04";"0.1";"5.66"
AT2;I1120;"0.53";"1.34";"572.96"
AT21;I1120;"0.14";"0.33";"210.22"
AT22;I1120;"0.39";"1.01";"362.74"
AT3;I1120;"0.43";"0.94";"999.78"
AT31;I1120;"0.42";"0.93";"507.71"
AT32;I1120;"0";"0";"173.67"
AT33;I1120;"0";"0";"241.6"
AT34;I1120;"0";"0";"76.8"
BE;I1120;"0";"0";"1355.86"
BE1;I1120;"0";"0";"3.05"
BE10;I1120;"0";"0";"3.05"
BE2;I1120;"0";"0";"620.2"
BE21;I1120;"0";"0";"96.52"
BE22;I1120;"0";"0";"86.29"
BE23;I1120;"0";"0";"147.72"
BE24;I1120;"0";"0";"88.31"
BE25;I1120;"0";"0";"201.36"
BE3;I1120;"0";"0";"732.62"
BE31;I1120;"0";"0";"64.7"
BE32;I1120;"0";"0";"209.64"
BE33;I1120;"0";"0";"158.78"
BE34;I1120;"0";"0";"143.33"
BE35;I1120;"0";"0";"156.17"
BG;I1120;"832.29";"1940.2";"5038.23"
BG1;I1120;;;
BG3;I1120;"709.04";"1701.09";"3662.04"
BG31;I1120;"214.17";"537.63";"1055.2"
BG32;I1120;"153.56";"390.17";"805.59"
BG33;I1120;"188.9";"470.55";"881.48"
BG34;I1120;"152.41";"302.68";"919.77"
BG4;I1120;"123.25";"239.18";"1376.19"
BG41;I1120;"34.18";"67.06";"593.44"
BG42;I1120;"89.07";"172.12";"782.75"
CY;I1120;"0";"0";"126.15"
CZ;I1120;"16.58";"42.16";"3524.38"
CZ0;I1120;"16.58";"42.16";"3524.38"
CZ01;I1120;"0.02";"0";"10.9"
CZ01;I1120;"0.02";"0.04";"10.9"
CZ02;I1120;"3.11";"7.56";"552.22"
CZ03;I1120;"0.6";"1.44";"739.16"
CZ04;I1120;"1.4";"3.38";"316.62"
CZ05;I1120;"1.09";"2.7";"569.83"
CZ06;I1120;"9.78";"25.5";"725.49"
CZ07;I1120;"0.51";"1.34";"397.31"
CZ08;I1120;"0.08";"0.19";"212.85"
DE;I1120;"25.3";"55.76";"16636.98"
DE1;I1120;"2.2";;"1412.48"
DE1;I1120;"2.2";"6.35";"1412.48"
DE11;I1120;;;
DE12;I1120;;;
DE13;I1120;;;
DE14;I1120;;;
DE2;I1120;"5.7";;"3107.04"
DE2;I1120;"5.7";"14.05";"3107.04"
DE21;I1120;;;
DE22;I1120;;;
DE23;I1120;;;
DE24;I1120;;;
DE25;I1120;;;
DE26;I1120;;;
DE27;I1120;;;
DE3;I1120;"0";;"1.84"
DE30;I1120;;;
DE4;I1120;"11.06";"20.68";"1316"
DE40;I1120;;;
DE5;I1120;"0";;"8.02"
DE50;I1120;;;
DE6;I1120;;;"14.6"
DE60;I1120;;;
DE7;I1120;"0.2";;"768"
DE71;I1120;;;
DE72;I1120;;;
DE73;I1120;;;
DE8;I1120;"1.2";;"1346.2"
DE80;I1120;;;
DE9;I1120;"0.3";;"2581.64"
DE9;I1120;"0.3";"0.8";"2581.64"
DE91;I1120;;;
DE92;I1120;;;
DE93;I1120;;;
DE94;I1120;;;
DEA;I1120;;;"1473.78"
DEA1;I1120;;;
DEA2;I1120;;;
DEA3;I1120;;;
DEA4;I1120;;;
DEA5;I1120;;;
DEB;I1120;"0.4";;"706.46"
DEB1;I1120;;;
DEB2;I1120;;;
DEB3;I1120;;;
DEC;I1120;"0.1";;"74.62"
DEC0;I1120;;;
DED;I1120;"1.78";"3.68";"899.34"
DED2;I1120;;;
DED4;I1120;;;
DED5;I1120;;;
DEE;I1120;"4.32";"10.3";"1165.58"
DEE0;I1120;;;
DEF;I1120;"0";;"985.4"
DEF0;I1120;;;
DEG;I1120;"1.1";"3.04";"775.98"
DEG0;I1120;;;
DEW;I1120;;;
DK;I1120;"0";"0";"2625.64"
DK0;I1120;"0";"0";"2625.64"
DK01;I1120;"0";"0";"102.51"
DK02;I1120;"0";"0";"472.12"
DK03;I1120;"0";"0";"773.66"
DK04;I1120;"0";"0";"790.68"
DK05;I1120;"0";"0";"486.67"
EE;I1120;"0";"0";"985.41"
EE0;I1120;"0";"0";
EL;I1120;"92.42";"244.05";"5199.68"
EL1;I1120;;;
EL11;I1120;;;
EL12;I1120;;;
EL13;I1120;;;
EL14;I1120;;;
EL2;I1120;;;
EL21;I1120;;;
EL22;I1120;;;
EL23;I1120;;;
EL24;I1120;;;
EL25;I1120;;;
EL3;I1120;"0";"0";"81.57"
EL30;I1120;"0";"0";"81.57"
EL4;I1120;"0";"0";"1029.92"
EL4;I1120;"0";"0.01";"1029.92"
EL41;I1120;"0";"0";"188.56"
EL41;I1120;"0";"0.01";"188.56"
EL41_42;I1120;;;
EL42;I1120;"0";"0";"139.13"
EL43;I1120;"0";"0";"702.23"
EL5;I1120;"88.98";"236.82";"1876.77"
EL51;I1120;"52.44";"133.72";"495.35"
EL52;I1120;"30.22";"87.77";"762.61"
EL53;I1120;"6.28";"15.15";"303.63"
EL54;I1120;"0.04";"0.19";"315.18"
EL6;I1120;"3.44";"7.22";"2211.43"
EL61;I1120;"0.89";"2.65";"655.53"
EL62;I1120;"0";"0";"93.17"
EL63;I1120;"0";"0";"455.56"
EL64;I1120;"2.5";"4.53";"519.71"
