NUTS2_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV
AT11,C1300,"7.666","36.982","185.08"
AT12,C1300,"71.902","368.298","878.73"
AT13,C1300,"0.344","1.752","5.662"
AT21,C1300,"4.94","29.308","210.216"
AT22,C1300,"7.808","48.594","362.742"
AT31,C1300,"41.322","292.186","507.71"
AT32,C1300,"0.522","2.436","173.67"
AT33,C1300,"0.246","1.154","241.6"
AT34,C1300,"0.016","0.1","76.8"
BE10,C1300,"0.138","1.13","3.048"
BE21,C1300,"0.582","3.508","96.518"
BE22,C1300,"2.938","23.346","86.294"
BE23,C1300,"2.958","23.606","147.72"
BE24,C1300,"4.888","39.864","88.31"
BE25,C1300,"3.95","34.76","201.36"
BE31,C1300,"3.194","27.298","64.704"
BE32,C1300,"8.72","72.882","209.64"
BE33,C1300,"3.478","27.67","158.78"
BE34,C1300,"2.522","14.352","143.332"
BE35,C1300,"9.922","78.042","156.166"
BG31,C1300,"21.33","115.916","1055.198"
BG32,C1300,"22.286","123.026","805.586"
BG33,C1300,"23.508","119.762","881.482"
BG34,C1300,"34.374","153.444","919.772"
BG41,C1300,"6.39","21.522","593.444"
BG42,C1300,"12.318","46.138","782.748"
CY00,C1300,"12.27","21.984","126.15"
CZ01,C1300,"1.418","7.908","10.898"
CZ02,C1300,"61.278","329.474","552.224"
CZ03,C1300,"57.256","303.194","739.158"
CZ04,C1300,"23.188","124.544","316.616"
CZ05,C1300,"40.762","217.23","569.826"
CZ06,C1300,"79.386","405.138","725.494"
CZ07,C1300,"46.58","249.264","397.306"
CZ08,C1300,"16.274","83.586","212.85"
DK01,C1300,"20.8","111.726","102.512"
DK02,C1300,"130.82","803.15","472.124"
DK03,C1300,"185.36","1006.142","773.656"
DK04,C1300,"218.88","1220.244","790.678"
DK05,C1300,"107.9","585.63","486.67"
EE00,C1300,,,
EL30,C1300,"0.75","1.06","81.57"
EL41,C1300,"6.106","3.914","188.556"
EL42,C1300,"3.682","4.98","139.13"
EL43,C1300,"4.2","0.598","702.23"
