NUTS2_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV
,C1210,"0.039951667","0.20824","10.898"
,C1210,"4.291301667","21.65171667","552.224"
,C1210,"6.837431667","35.55723167","739.158"
,C1210,"2.729475","13.72414667","316.616"
,C1210,"2.751135","14.31000167","569.826"
,C1210,"7.590796667","38.25962667","725.494"
,C1210,"1.459451667","7.52641","397.306"
,C1210,"0.869468333","4.43946","212.85"
,C1210,"2.527777778","0.016716667","102.512"
,C1210,"8.05","0.0544","472.124"
,C1210,"20.76111111","0.123955556","773.656"
,C1210,"28.36111111","0.169827778","790.678"
,C1210,"28.35","0.177633333","486.67"
,C1210,"16.496","62.30166667",
,C1210,"0.0029","0.004199","81.57"
,C1210,"0.0218","0.05229","188.556"
,C1210,"0.0371","0.104346","139.13"
,C1210,"0.23705","0.3023515","702.23"
,C1210,"1.5661","3.149634","495.346"
,C1210,"1.6741","3.584621","762.608"
,C1210,"7.4442","17.01952","303.634"
,C1210,"0.27515","0.7160025","315.176"
,C1210,"0.6083","1.364226","655.526"
,C1210,"0.0061","0.01045","93.174"
,C1210,"0.0438","0.090004","455.556"
,C1210,"0.0624","0.15648","519.714"
,C1210,"0.0201","0.057028","487.454"
,C1210,"8.466666667",N/A,"787.742"
,C1210,"3.983333333",N/A,"181.22"
,C1210,"9.433333333",N/A,"614.26"
,C1210,"1.083333333",N/A,"671.58"
,C1210,"0.475",N/A,"16.44"
,C1210,"0.1484","0.3156","34.332"
,C1210,"3.725","12.4126","311.614"
,C1210,"1.944","7.9172","578.412"
,C1210,"2.9242","11.476","565.332"
,C1210,"1.3214","4.4546","745.852"
,C1210,"1.3118","4.7436","587.718"
,C1210,"4.8924","16.4858","1174.514"
,C1210,"9.8678","29.2434","1212.722"
,C1210,"0.1628",N/A,"890.22"
,C1210,"0.009",N/A,"57.894"
,C1210,"0.2868",N/A,"1056.448"
,C1210,"0.191",N/A,"486.624"
,C1210,"0.0175",N/A,"193.942"
,C1210,"0.08",N/A,"568.682"
,C1210,"0.2818",N/A,"450.412"
,C1210,"1.3754",N/A,"523.596"
,C1210,"0.015",N/A,"1483.86"
,C1210,"0.065",N/A,"236.326"
,C1210,"0.006",N/A,"136.142"
,C1210,"0.0994",N/A,"794.912"
,C1210,"0.0458",N/A,"228.508"
,C1210,"0.5044",N/A,"1044.96"
,C1210,"0.153",N/A,"673.39"
,C1210,"0.121",N/A,"329.268"
,C1210,"0.1994",N/A,"743.904"
,C1210,"35.51666667","141.3333333","1900"
,C1210,"9.2026","12.0908","659.89"
,C1210,"0.0102","0.0082","102.124"
,C1210,"5.6358","3.8658","633.268"
,C1210,"0","0","78.25"
,C1210,"0.1476","0.1452","2280.198"
,C1210,"0","0","117.152"
,C1210,"0","0","4.914"
