NUTS2_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV
AT,F4000,"0.17","3.48","2642.21"
AT11,F4000,"0","0","0"
AT12,F4000,"0","0","0"
AT13,F4000,"0","0","0"
AT21,F4000,"0","0","0"
AT22,F4000,"0","0","0"
AT31,F4000,"0","0","0"
AT32,F4000,"0","0","0"
AT33,F4000,"0","0","0"
AT34,F4000,"0","0","0"
BE,F4000,"0.11","0","1355.86"
BE10,F4000,"0","0","0"
BE21,F4000,"0","0","0"
BE22,F4000,"0","0","0"
BE23,F4000,"0","0","0"
BE24,F4000,"0","0","0"
BE25,F4000,"0","0","0"
BE31,F4000,"0","0","0"
BE32,F4000,"0","0","0"
BE33,F4000,"0","0","0"
BE34,F4000,"0","0","0"
BE35,F4000,"0","0","0"
BG,F4000,"8.71","5.94","5038.23"
BG31,F4000,"1.22","6.58","149.27"
BG32,F4000,"3.36","18.13","410.91"
BG33,F4000,"3.11","16.79","380.72"
BG34,F4000,"4.14","22.31","505.67"
BG41,F4000,"0.54","2.92","66.25"
BG42,F4000,"2.55","13.76","311.95"
CY,F4000,"2.68","0.55","126.15"
CZ,F4000,"0.16","0.12","3524.38"
CZ01,F4000,"0","0","0"
CZ02,F4000,"0","0","0"
CZ03,F4000,"0","0","0"
CZ04,F4000,"0","0","0"
CZ05,F4000,"0","0","0"
CZ06,F4000,"0","0","0"
CZ07,F4000,"0","0","0"
CZ08,F4000,"0","0","0"
DE,F4000,"0.91","0","16636.98"
DE11,F4000,"0","0","0"
DE12,F4000,"0","0","0"
DE13,F4000,"0","0","0"
DE14,F4000,"0","0","0"
DE21,F4000,"0","0","0"
DE22,F4000,"0","0","0"
DE23,F4000,"0","0","0"
DE24,F4000,"0","0","0"
DE25,F4000,"0","0","0"
DE26,F4000,"0","0","0"
DE27,F4000,"0","0","0"
DE30,F4000,"0","0","0"
DE40,F4000,"0","0","0"
DE50,F4000,"0","0","0"
DE60,F4000,"0","0","0"
DE71,F4000,"0","0","0"
DE72,F4000,"0","0","0"
DE73,F4000,"0","0","0"
DE80,F4000,"0","0","0"
DE91,F4000,"0","0","0"
DE92,F4000,"0","0","0"
DE93,F4000,"0","0","0"
DE94,F4000,"0","0","0"
DEA1,F4000,"0","0","0"
DEA2,F4000,"0","0","0"
DEA3,F4000,"0","0","0"
DEA4,F4000,"0","0","0"
DEA5,F4000,"0","0","0"
DEB1,F4000,"0","0","0"
DEB2,F4000,"0","0","0"
DEB3,F4000,"0","0","0"
DEC0,F4000,"0","0","0"
DED2,F4000,"0","0","0"
DED4,F4000,"0","0","0"
DED5,F4000,"0","0","0"
DEE0,F4000,"0","0","0"
DEF0,F4000,"0","0","0"
DEG0,F4000,"0","0","0"
DK,F4000,"0","0","2625.64"
DK01,F4000,"0","0","0"
DK02,F4000,"0","0","0"
DK03,F4000,"0","0","0"
DK04,F4000,"0.01","0.11","6.78"
DK05,F4000,"0","0","0"
EE,F4000,"0","0","985.41"
EE00,F4000,"0","0","0"
EL,F4000,"47.4","106.64","5199.68"
EL11,F4000,"0","0","0"
EL12,F4000,"0","0","0"
EL13,F4000,"0","0","0"
EL14,F4000,"0","0","0"
EL21,F4000,"0","0","0"
EL22,F4000,"0","0","0"
EL23,F4000,"0","0","0"
EL24,F4000,"0","0","0"
EL25,F4000,"0","0","0"
EL30,F4000,"2.02","25.45","70.44"
EL41,F4000,"0.52","6.6","18.26"
EL42,F4000,"0.06","0.79","2.17"
EL43,F4000,"0.76","9.58","26.52"
EL51,F4000,"2.02","25.45","70.44"
EL52,F4000,"6.5","81.86","226.53"
EL53,F4000,"2.41","30.32","83.91"
EL54,F4000,"0.91","11.47","31.74"
EL61,F4000,"11.79","148.48","410.88"
EL62,F4000,"0.02","0.31","0.87"
EL63,F4000,"1.07","13.51","37.39"
EL64,F4000,"4.5","56.72","156.96"
EL65,F4000,"5.02","63.16","174.79"
ES,F4000,"790.3","560.09","24253.86"
ES11,F4000,"4.48","19.68","101.87"
ES12,F4000,"0.28","1.24","6.43"
ES13,F4000,"0.07","0.31","1.61"
ES21,F4000,"0.27","1.18","6.11"
ES22,F4000,"4.02","17.69","91.59"
ES23,F4000,"9.22","40.54","209.86"
ES24,F4000,"100.83","443.34","2295.23"
ES30,F4000,"0.35","1.55","8.03"
ES41,F4000,"4.87","21.42","110.87"
ES42,F4000,"91.67","403.06","2086.66"
ES43,F4000,"14.48","63.69","329.73"
ES51,F4000,"68.6","301.62","1561.54"
ES52,F4000,"108.95","479.04","2480.02"
ES53,F4000,"30.37","133.52","691.27"
ES61,F4000,"197.44","868.12","4494.37"
ES62,F4000,"114.14","501.88","2598.28"
ES63,F4000,"0","0","0"
ES64,F4000,"0","0","0"
ES70,F4000,"0.31","1.37","7.07"
FI,F4000,"0","0","2271.18"
FI19,F4000,"0","0","0"
FI1B,F4000,"0","0","0"
FI1C,F4000,"0","0","0"
FI1D,F4000,"0","0","0"
FI20,F4000,"0","0","0"
FR,F4000,"40.97","59.38","29010.89"
FR10,F4000,"0.77","12.73","136.39"
FRB0,F4000,"0.74","12.15","130.09"
FRC1,F4000,"0.17","2.74","29.38"
FRC2,F4000,"0.01","0.2","2.1"
FRD1,F4000,"0.02","0.39","4.2"
FRD2,F4000,"0.01","0.2","2.1"
FRE1,F4000,"0","0","0"
FRE2,F4000,"0","0","0"
FRF1,F4000,"0.01","0.2","2.1"
FRF2,F4000,"0","0","0"
FRF3,F4000,"0.1","1.57","16.79"
FRG0,F4000,"2.09","34.48","369.3"
FRH0,F4000,"0.01","0.2","2.1"
FRI1,F4000,"9.04","148.89","1594.7"
FRI2,F4000,"1.81","29.78","318.94"
FRI3,F4000,"0.65","10.78","115.41"
FRJ1,F4000,"1.84","30.37","325.23"
FRJ2,F4000,"4.56","75.03","803.64"
FRK1,F4000,"0.12","1.96","20.98"
FRK2,F4000,"12.08","198.85","2129.76"
FRL0,F4000,"0.73","11.95","128"
FRM0,F4000,"5.62","92.47","990.39"
FRY1,F4000,"0","0","0"
FRY2,F4000,"0","0","0"
FRY3,F4000,"0","0","0"
FRY4,F4000,"0","0","0"
FRY5,F4000,"0","0","0"
HR,F4000,"13.5","2.61","1493.86"
HR03,F4000,"0.76","2.59","39.26"
HR04,F4000,"9.2","31.2","473.76"
HU,F4000,"6.84","6.88","5210.49"
HU10,F4000,"0.6","5.38","38.62"
HU21,F4000,"0.57","5.1","36.62"
HU22,F4000,"0.71","6.4","45.95"
HU23,F4000,"1.24","11.12","79.91"
HU31,F4000,"0.85","7.69","55.27"
HU32,F4000,"2.49","22.43","161.14"
HU33,F4000,"0.68","6.12","43.95"
IE,F4000,"0","0","4475.59"
IE01,F4000,"0","0","0"
IE02,F4000,"0","0","0"
IT,F4000,"176.57","251.38","13034.85"
ITC1,F4000,"31.17",,"977.82"
ITC1,F4000,"31.17","400.84","977.82"
ITC2,F4000,"0.02",,"0.67"
ITC2,F4000,"0.02","0.27","0.67"
ITC3,F4000,"0.84",,"26.37"
ITC3,F4000,"0.84","10.81","26.37"
ITC4,F4000,"0.36",,"11.35"
ITC4,F4000,"0.36","4.65","11.35"
ITF1,F4000,"1.38",,"43.4"
ITF1,F4000,"1.38","17.79","43.4"
ITF2,F4000,"1.05",,"33.05"
ITF2,F4000,"1.05","13.55","33.05"
ITF3,F4000,"30.46",,"955.45"
ITF3,F4000,"30.46","391.67","955.45"
ITF4,F4000,"10.46",,"328.16"
ITF4,F4000,"10.46","134.52","328.16"
ITF5,F4000,"1.28",,"40.06"
ITF5,F4000,"1.28","16.42","40.06"
ITF6,F4000,"9.16",,"287.44"
ITF6,F4000,"9.16","117.83","287.44"
ITG1,F4000,"38.46",,"1206.5"
ITG1,F4000,"38.46","494.58","1206.5"
ITG2,F4000,"1.35",,"42.4"
ITG2,F4000,"1.35","17.38","42.4"
ITH1,F4000,"0.3",,"9.35"
ITH1,F4000,"0.3","3.83","9.35"
ITH2,F4000,"0.27",,"8.35"
ITH2,F4000,"0.27","3.42","8.35"
ITH3,F4000,"1.06",,"33.38"
ITH3,F4000,"1.06","13.69","33.38"
ITH4,F4000,"0.11",,"3.34"
ITH4,F4000,"0.11","1.37","3.34"
ITH5,F4000,"6.95",,"218"
ITH5,F4000,"6.95","89.36","218"
ITI1,F4000,"6.28",,"196.97"
ITI1,F4000,"6.28","80.74","196.97"
ITI2,F4000,"1.01",,"31.71"
ITI2,F4000,"1.01","13","31.71"
ITI3,F4000,"0.74",,"23.37"
ITI3,F4000,"0.74","9.58","23.37"
ITI4,F4000,"28.31",,"888.01"
ITI4,F4000,"28.31","364.02","888.01"
LT,F4000,"0.24","0.12","2947.62"
LT00,F4000,"0.33","0.98","43.52"
LU,F4000,"0.01","0.03","131.85"
LU00,F4000,"0","0","0"
