NUTS2_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV
AT,I3000,"0","0","2642.21"
AT1,I3000,"0","0","1069.47"
AT11,I3000,"0","0","185.08"
AT12,I3000,"0","0","878.73"
AT13,I3000,"0","0","5.66"
AT2,I3000,"0","0","572.96"
AT21,I3000,"0","0","210.22"
AT22,I3000,"0","0","362.74"
AT3,I3000,"0","0","999.78"
AT31,I3000,"0","0","507.71"
AT32,I3000,"0","0","173.67"
AT33,I3000,"0","0","241.6"
AT34,I3000,"0","0","76.8"
BE,I3000,"0.04","0","1355.86"
BE1,I3000,"0","0","3.05"
BE10,I3000,"0","0","3.05"
BE2,I3000,"0.04","0","620.2"
BE21,I3000,"0","0","96.52"
BE22,I3000,"0","0","86.29"
BE23,I3000,"0","0","147.72"
BE24,I3000,"0","0","88.31"
BE25,I3000,"0.04","0","201.36"
BE3,I3000,"0","0","732.62"
BE31,I3000,"0","0","64.7"
BE32,I3000,"0","0","209.64"
BE33,I3000,"0","0","158.78"
BE34,I3000,"0","0","143.33"
BE35,I3000,"0","0","156.17"
BG,I3000,"4.81","7.93","5038.23"
BG1,I3000,,,
BG3,I3000,"1.34","2.56","3662.04"
BG31,I3000,"0.21","0.43","1055.2"
BG32,I3000,"0.52","1.07","805.59"
BG33,I3000,"0.11","0.19","881.48"
BG34,I3000,"0.51","0.87","919.77"
BG4,I3000,"3.47","5.37","1376.19"
BG41,I3000,"0.57","0.92","593.44"
BG42,I3000,"2.9","4.45","782.75"
CY,I3000,"0","0","126.15"
CZ,I3000,"0","0","3524.38"
CZ0,I3000,"0","0","3524.38"
CZ01,I3000,"0","0","10.9"
CZ02,I3000,"0","0","552.22"
CZ03,I3000,"0","0","739.16"
CZ04,I3000,"0","0","316.62"
CZ05,I3000,"0","0","569.83"
CZ06,I3000,"0","0","725.49"
CZ07,I3000,"0","0","397.31"
CZ08,I3000,"0","0","212.85"
DE,I3000,"1.5",,"16636.98"
DE1,I3000,"0.6",,"1412.48"
DE11,I3000,,,
DE12,I3000,,,
DE13,I3000,,,
DE14,I3000,,,
DE2,I3000,"0.2",,"3107.04"
DE21,I3000,,,
DE22,I3000,,,
DE23,I3000,,,
DE24,I3000,,,
DE25,I3000,,,
DE26,I3000,,,
DE27,I3000,,,
DE3,I3000,"0",,"1.84"
DE30,I3000,,,
DE4,I3000,,,"1316"
DE40,I3000,,,
DE5,I3000,"0",,"8.02"
