NUTS2_CODE;CROP_CODE;AREA_AV;PROD_AV;UAA_AV
DE71;O1000;"0";"0";"0"
HU33;O1000;"0";"0";"1212.722"
HU23;O1000;"0";"0";"745.852"
DK;O1000;"0";"0";"2625.64"
DEA4;O1000;"0";"0";"0"
PL51;O1000;"0";"0";"891.456"
NL13;O1000;"0";"0";"148.134"
DED2;O1000;"0";"0";"0"
DEA1;O1000;"0";"0";"0"
EL63;O1000;"111.278182";"146.6459231";"455.556"
EL53;O1000;"0.316881391";"0.417596364";"303.634"
EE00;O1000;"0";"0";"0"
ITH5;O1000;"3.557494259";"7.00563085";"1044.96"
EE;O1000;"0";"0";"985.408"
HU32;O1000;"0";"0";"1174.514"
HU31;O1000;"0";"0";"587.718"
FI1C;O1000;"0";"0";"614.26"
ES43;O1000;"244.7597072";"729.8809751";"2610.714"
FI;O1000;"0";"0";"2271.18"
NL23;O1000;"0";"0";"89.412"
FR;O1000;"17.422";"25.898";"29010.8875"
FRC2;O1000;"0";"0";"715.8175"
ITF1;O1000;"43.25338516";"85.1771577";"486.624"
FI20;O1000;"0";"0";"16.44"
PT18;O1000;"197.6498493";"494.3143611";"2280.198"
PT15;O1000;"8.586983055";"21.47570088";"102.124"
FRF1;O1000;"0";"0";"343.25"
EL51;O1000;"16.83432392";"22.18480684";"495.346"
ES61;O1000;"1690.963329";"5042.504658";"4812.198"
FRI1;O1000;"0.011163357";"0.016590647";"1592.24"
ES24;O1000;"53.80400109";"160.4451861";"2342.764"
PT17;O1000;"0.608435965";"1.521673993";"78.25"
DEA5;O1000;"0";"0";"0"
EL30;O1000;"25.6805961";"33.84270533";"81.57"
AT;O1000;"0";"0";"2642.214"
FRK1;O1000;"0";"0";"1491.04"
ITF5;O1000;"23.63192615";"46.53740493";"450.412"
FRD1;O1000;"0";"0";"1271.58"
BE;O1000;"0";"0";"1355.864"
DE30;O1000;"0";"0";"0"
FRC1;O1000;"0";"0";"1833.285"
DE40;O1000;"0";"0";"0"
SK01;O1000;"0";"0";"80.048"
DE91;O1000;"0";"0";"0"
DE50;O1000;"0";"0";"0"
FRH0;O1000;"0";"0";"1779.7475"
RO32;O1000;"0";"0";"72.206"
