NUTS2_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV
AT,C2000,"0.00","0.00","2642.21"
AT1,C2000,"0.00","0.00","1069.47"
AT11,C2000,"0.00","0.00","185.08"
AT12,C2000,"0.00","0.00","878.73"
AT13,C2000,"0.00","0.00","5.66"
AT2,C2000,"0.00","0.00","572.96"
AT21,C2000,"0.00","0.00","210.22"
AT22,C2000,"0.00","0.00","362.74"
AT3,C2000,"0.00","0.00","999.78"
AT31,C2000,"0.00","0.00","507.71"
AT32,C2000,"0.00","0.00","173.67"
AT33,C2000,"0.00","0.00","241.6"
AT34,C2000,"0.00","0.00","76.8"
BE,C2000,"0.00","0.00","1355.86"
BE1,C2000,"0.00","0.00","3.05"
BE10,C2000,"0.00","0.00","3.05"
BE2,C2000,"0.00","0.00","620.2"
BE21,C2000,"0.00","0.00","96.52"
BE22,C2000,"0.00","0.00","86.29"
BE23,C2000,"0.00","0.00","147.72"
BE24,C2000,"0.00","0.00","88.31"
BE25,C2000,"0.00","0.00","201.36"
BE3,C2000,"0.00","0.00","732.62"
BE31,C2000,"0.00","0.00","64.7"
BE32,C2000,"0.00","0.00","209.64"
BE33,C2000,"0.00","0.00","158.78"
BE34,C2000,"0.00","0.00","143.33"
BE35,C2000,"0.00","0.00","156.17"
BG,C2000,"11.53","63.03","5038.23"
BG1,C2000,,,
BG3,C2000,"1.35",,"3662.04"
BG3,C2000,"1.35","7.17","3662.04"
BG31,C2000,"0.00",,"1055.2"
BG31,C2000,"0.00","0.00","1055.2"
BG32,C2000,"0.00",,"805.59"
BG32,C2000,"0.00","0.00","805.59"
BG33,C2000,"0.00",,"881.48"
BG33,C2000,"0.00","0.00","881.48"
BG34,C2000,"1.35",,"919.77"
BG34,C2000,"1.35","7.17","919.77"
BG4,C2000,"10.47",,"1376.19"
BG4,C2000,"10.47","63.76","1376.19"
BG41,C2000,"0.00",,"593.44"
BG41,C2000,"0.00","0.00","593.44"
BG42,C2000,"10.47",,"782.75"
BG42,C2000,"10.47","63.76","782.75"
CY,C2000,"0.00","0.00","126.15"
CZ,C2000,"0.00","0.00","3524.38"
CZ0,C2000,"0.00","0.00","3524.38"
CZ01,C2000,"0.00","0.00","10.9"
CZ02,C2000,"0.00","0.00","552.22"
CZ03,C2000,"0.00","0.00","739.16"
CZ04,C2000,"0.00","0.00","316.62"
CZ05,C2000,"0.00","0.00","569.83"
CZ06,C2000,"0.00","0.00","725.49"
CZ07,C2000,"0.00","0.00","397.31"
CZ08,C2000,"0.00","0.00","212.85"
DE,C2000,"0.00","0.00","16636.98"
DE1,C2000,"0.00","0.00","1412.48"
DE11,C2000,"18.74","93.42",
DE12,C2000,"0.00","0.00",
DE13,C2000,"0.00","0.00",
DE14,C2000,"0.00","0.00",
DE2,C2000,"0.00","0.00","3107.04"
DE21,C2000,"26.42","117.74",
DE22,C2000,"0.00","0.00",
DE23,C2000,"0.00","0.00",
DE24,C2000,"0.00","0.00",
DE25,C2000,"0.00","0.00",
DE26,C2000,"0.00","0.00",
DE27,C2000,"0.00","0.00",
