NUTS2_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV
AT,I5000,"4.26",,"2642.21"
AT1,I5000,"3.34",,"1069.47"
AT11,I5000,"0.22",,"185.08"
AT12,I5000,"3.1",,"878.73"
AT13,I5000,"0.02",,"5.66"
AT2,I5000,"0.05",,"572.96"
AT21,I5000,"0.02",,"210.22"
AT22,I5000,"0.03",,"362.74"
AT3,I5000,"0.88",,"999.78"
AT31,I5000,"0.87",,"507.71"
AT32,I5000,"0",,"173.67"
AT33,I5000,"0",,"241.6"
AT34,I5000,"0",,"76.8"
BE,I5000,"0.55","0","1355.86"
BE1,I5000,"0","0","3.05"
BE10,I5000,"0","0","3.05"
BE2,I5000,"0.35","0","620.2"
BE21,I5000,"0.11","0","96.52"
BE22,I5000,"0.04","0","86.29"
BE23,I5000,"0.01","0","147.72"
BE24,I5000,"0.1","0","88.31"
BE25,I5000,"0.09","0","201.36"
BE3,I5000,"0.2","0","732.62"
BE31,I5000,"0.03","0","64.7"
BE32,I5000,"0.14","0","209.64"
BE33,I5000,"0.01","0","158.78"
BE34,I5000,"0.01","0","143.33"
BE35,I5000,"0.01","0","156.17"
BG,I5000,"45.62","98.08","5038.23"
BG1,I5000,,,
BG3,I5000,"43.08",,"3662.04"
BG3,I5000,"43.08","88.87","3662.04"
BG31,I5000,"1.18",,"1055.2"
BG31,I5000,"1.18","1.51","1055.2"
BG32,I5000,"4.6",,"805.59"
BG32,I5000,"4.6","6.46","805.59"
BG33,I5000,"13",,"881.48"
BG33,I5000,"13","44.73","881.48"
BG34,I5000,"24.31",,"919.77"
BG34,I5000,"24.31","36.16","919.77"
BG4,I5000,"6.62",,"1376.19"
BG4,I5000,"6.62","14.13","1376.19"
BG41,I5000,"0.9",,"593.44"
BG41,I5000,"0.9","1.33","593.44"
BG42,I5000,"5.72",,"782.75"
BG42,I5000,"5.72","12.8","782.75"
CY,I5000,"0","0","126.15"
CZ,I5000,"7","5.58","3524.38"
CZ0,I5000,,,"3524.38"
CZ01,I5000,,,"10.9"
CZ02,I5000,,,"552.22"
CZ03,I5000,,,"739.16"
CZ04,I5000,,,"316.62"
CZ05,I5000,,,"569.83"
CZ06,I5000,,,"725.49"
CZ07,I5000,,,"397.31"
CZ08,I5000,,,"212.85"
DE,I5000,"7.9",,"16636.98"
DE1,I5000,"0.4",,"1412.48"
DE11,I5000,,,
DE12,I5000,,,
DE13,I5000,,,
DE14,I5000,,,
DE2,I5000,"2.1",,"3107.04"
DE21,I5000,,,
DE22,I5000,,,
DE23,I5000,,,
DE24,I5000,,,
DE25,I5000,,,
DE26,I5000,,,
DE27,I5000,,,
DE3,I5000,,,"1.84"
DE30,I5000,,,
DE4,I5000,"0.3",,"1316"
DE40,I5000,,,
DE5,I5000,"0",,"8.02"
DE50,I5000,,,
DE6,I5000,"0.06",,"14.6"
DE60,I5000,,,
DE7,I5000,"0.8",,"768"
DE71,I5000,,,
DE72,I5000,,,
DE73,I5000,,,
DE8,I5000,"0.3",,"1346.2"
DE80,I5000,,,
DE9,I5000,"0.6",,"2581.64"
DE91,I5000,,,
DE92,I5000,,,
DE93,I5000,,,
DE94,I5000,,,
DEA,I5000,"0.75",,"1473.78"
DEA1,I5000,,,
DEA2,I5000,,,
DEA3,I5000,,,
DEA4,I5000,,,
DEA5,I5000,,,
DEB,I5000,"0.6",,"706.46"
DEB1,I5000,,,
DEB2,I5000,,,
DEB3,I5000,,,
DEC,I5000,"0",,"74.62"
DEC0,I5000,,,
DED,I5000,"0.2",,"899.34"
DED2,I5000,,,
DED4,I5000,,,
DED5,I5000,,,
DEE,I5000,"0.76",,"1165.58"
DEE0,I5000,,,
DEF,I5000,"0",,"985.4"
DEF0,I5000,,,
DEG,I5000,"1.14",,"775.98"
DEG0,I5000,,,
DEW,I5000,,,
DK,I5000,"0","0","2625.64"
DK0,I5000,"0","0","2625.64"
DK01,I5000,"0","0","102.51"
DK02,I5000,"0","0","472.12"
DK03,I5000,"0","0","773.66"
DK04,I5000,"0","0","790.68"
DK05,I5000,"0","0","486.67"
EE,I5000,"1.94","0","985.41"
EE0,I5000,"0",,
EE0,I5000,"0","0",
EL,I5000,"12.82","29.86","5199.68"
EL1,I5000,,,
EL11,I5000,,,
EL12,I5000,,,
EL13,I5000,,,
EL14,I5000,,,
EL2,I5000,,,
EL21,I5000,,,
EL22,I5000,,,
EL23,I5000,,,
EL24,I5000,,,
EL25,I5000,,,
EL3,I5000,"0.06","0.41","81.57"
EL30,I5000,"0.06","0.41","81.57"
EL4,I5000,"1.94","1.23","1029.92"
EL41,I5000,"1.69","0.27","188.56"
EL41_42,I5000,,,
EL42,I5000,"0.08","0.29","139.13"
EL43,I5000,"0.17","0.67","702.23"
EL5,I5000,"7.75","21.78","1876.77"
EL51,I5000,"0.47","0.93","495.35"
EL52,I5000,"4.73","16.87","762.61"
EL53,I5000,"2.34","3.56","303.63"
EL54,I5000,"0.22","0.42","315.18"
EL6,I5000,"3.07","6.44","2211.43"
EL61,I5000,"2.1","4.14","655.53"
EL62,I5000,"0.03","0.25","93.17"
EL63,I5000,"0.18","0.38","455.56"
EL64,I5000,"0.55","1.19","519.71"
EL65,I5000,"0.2","0.48","487.45"
ES,I5000,"21.05","60.62","24253.86"
ES1,I5000,"0","0","1628.1"
ES11,I5000,"0","0","936.6"
ES12,I5000,"0","0","431.53"
ES13,I5000,"0","0","259.97"
ES2,I5000,"0.45","3.44","3205.56"
ES21,I5000,"0","0","201.35"
ES22,I5000,"0.2","0.93","424.96"
ES23,I5000,"0","0","236.48"
ES24,I5000,"0.25","2.5","2342.76"
ES3,I5000,"0.11","0.28","341.63"
ES30,I5000,"0.11","0.28","341.63"
ES4,I5000,"5.82","23.52","11771.14"
ES41,I5000,"1.26","3.33","5161.37"
ES42,I5000,"3.16","16.05","3999.06"
ES43,I5000,"1.4","4.14","2610.71"
ES5,I5000,"1.06","10.11","1975.75"
ES51,I5000,"0.3","2.16","1064.22"
ES52,I5000,"0.7","7.58","694.46"
ES53,I5000,"0.06","0.36","217.07"
ES6,I5000,"13.38","20.51","5220.41"
ES61,I5000,"10.31","11.12","4812.2"
ES62,I5000,"3.07","9.39","408.21"
ES63,I5000,"0","0","0"
ES64,I5000,"0","0","0"
ES7,I5000,"0.24","2.78","111.27"
ES70,I5000,"0.24","2.78","111.27"
FI,I5000,"16.55","12.88","2271.18"
