NUTS2_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV
,#N/D,"0.004148333",,"3.048"
,#N/D,"0.012423333",,"96.518"
,#N/D,"0.03963",,"86.294"
,#N/D,"0.021625",,"147.72"
,#N/D,"0.064743333",,"88.31"
,#N/D,"0.040856667",,"201.36"
,#N/D,"0.04126",,"64.704"
,#N/D,"0.107706667",,"209.64"
,#N/D,"0.075146667",,"158.78"
,#N/D,"0.143378333",,"143.332"
,#N/D,"0.152426667",,"156.166"
,,"0.216991667","0.612138333","10.898"
,,"7.249816667","19.13197","552.224"
,,"5.33326","13.2332","739.158"
,,"2.753406667","7.405205","316.616"
,,"3.200103333","8.414648333","569.826"
,,"12.29438667","31.64383667","725.494"
,,"2.288981667","6.08851","397.306"
,,"0.73311","1.745411667","212.85"
,#N/D,"4.9","16.44",
,#N/D,"13.84","41.46",
,#N/D,"8.86","22.02",
,#N/D,"2.66","9.4",
,#N/D,"12.1","36.02",
,#N/D,"2.08","7.72",
,#N/D,"4.34","18.36",
,#N/D,"3.34","12.16",
,#N/D,"0.12","0.34",
,#N/D,"6.2","20.54",
,#N/D,"13.8","41.14",
,#N/D,"0.45","1.85",
,#N/D,"9.66","36.46",
,V5100,"34.768","70.81783333",
,,"0.117","0.3448","34.332"
,,"1.0054","5.2874","311.614"
,,"2.314","8.8304","578.412"
,,"0.2646","1.2112","565.332"
,,"1.1398","5.7112","745.852"
,,"0.5736","2.5686","587.718"
,,"7.9538","40.9758","1174.514"
,,"6.489","32.3502","1212.722"
,,"1.0466",,"890.22"
,,"3.5596",,"1056.448"
,,"0.1208",,"486.624"
,,"0.178",,"193.942"
,,"0.0058",,"568.682"
,,"0.489",,"1551.75"
,,"0.0834",,"523.596"
,,"0.137",,"1483.86"
,,"0.244",,"1118.888"
,,"1.0808",,"794.912"
,,"0.751",,"228.508"
,,"2.0376",,"1044.96"
,,"0.243",,"673.39"
,,"0.044",,"329.268"
,,"1.8844",,"407.384"
,,"0.1",,"743.904"
