NUTS2_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV
AT,G1000,"51.32","857.77","2642.21"
AT1,G1000,"19.45","293.18","1069.47"
AT11,G1000,"4.42","51.25","185.08"
AT12,G1000,"15.01","241.68","878.73"
AT13,G1000,"0.01","0.25","5.66"
AT2,G1000,"19.63","358.41","572.96"
AT21,G1000,"9.37","172.27","210.22"
AT22,G1000,"10.26","186.14","362.74"
AT3,G1000,"12.25","206.18","999.78"
AT31,G1000,"7.96","129","507.71"
AT32,G1000,"1.76","29.63","173.67"
AT33,G1000,"1.86","35.16","241.6"
AT34,G1000,"0.67","12.39","76.8"
BE,G1000,"93.86",,"1355.86"
BE1,G1000,"0.15",,"3.05"
BE10,G1000,"0.15",,"3.05"
BE2,G1000,"57.31",,"620.2"
BE21,G1000,"18.62",,"96.52"
BE22,G1000,"8.43",,"86.29"
BE23,G1000,"12.79",,"147.72"
BE24,G1000,"5.13",,"88.31"
BE25,G1000,"12.34",,"201.36"
BE3,G1000,"36.41",,"732.62"
BE31,G1000,"1.43",,"64.7"
BE32,G1000,"6.92",,"209.64"
BE33,G1000,"4.79",,"158.78"
BE34,G1000,"16.67",,"143.33"
BE35,G1000,"6.6",,"156.17"
BG,G1000,"1.53","11.36","5038.23"
BG1,G1000,,,
BG3,G1000,,,"3662.04"
BG31,G1000,,,"1055.2"
BG32,G1000,,,"805.59"
BG33,G1000,,,"881.48"
BG34,G1000,,,"919.77"
BG4,G1000,,,"1376.19"
BG41,G1000,,,"593.44"
BG42,G1000,,,"782.75"
CY,G1000,"0.34",,"126.15"
CZ,G1000,"38.64","359.3","3524.38"
CZ0,G1000,,,"3524.38"
CZ01,G1000,,,"10.9"
CZ02,G1000,,,"552.22"
CZ03,G1000,,,"739.16"
CZ04,G1000,,,"316.62"
CZ05,G1000,,,"569.83"
CZ06,G1000,,,"725.49"
CZ07,G1000,,,"397.31"
CZ08,G1000,,,"212.85"
DE,G1000,"304.46","5874.86","16636.98"
DE1,G1000,"11.98","212.57","1412.48"
DE11,G1000,,,
DE12,G1000,,,
DE13,G1000,,,
DE14,G1000,,,
DE2,G1000,"30.18","749.31","3107.04"
DE21,G1000,,,
DE22,G1000,,,
DE23,G1000,,,
DE24,G1000,,,
DE25,G1000,,,
DE26,G1000,,,
DE27,G1000,,,
DE3,G1000,"0.18",,"1.84"
DE30,G1000,,,
DE4,G1000,"34.36","406.97","1316"
DE40,G1000,,,
DE5,G1000,"0.1",,"8.02"
DE50,G1000,,,
DE6,G1000,"0.3",,"14.6"
DE60,G1000,,,
DE7,G1000,"15.74","244.34","768"
DE71,G1000,,,
DE72,G1000,,,
DE73,G1000,,,
DE8,G1000,"21.88","257.26","1346.2"
DE80,G1000,,,
DE9,G1000,"65.94","1520.34","2581.64"
DE91,G1000,,,
DE92,G1000,,,
DE93,G1000,,,
DE94,G1000,,,
DEA,G1000,"33.3","523.83","1473.78"
DEA1,G1000,,,
DEA2,G1000,,,
DEA3,G1000,,,
DEA4,G1000,,,
DEA5,G1000,,,
DEB,G1000,"11.86","216","706.46"
DEB1,G1000,,,
DEB2,G1000,,,
DEB3,G1000,,,
DEC,G1000,"1.8","26.57","74.62"
DEC,G1000,"1.8",,"74.62"
DEC0,G1000,,,
DED,G1000,"18.74","396.4","899.34"
DED2,G1000,,,
DED4,G1000,,,
DED5,G1000,,,
DEE,G1000,"10.52","118.74","1165.58"
DEE0,G1000,,,
DEF,G1000,"36.54","952.91","985.4"
DEF0,G1000,,,
DEG,G1000,"11","238.17","775.98"
DEG0,G1000,,,
DEW,G1000,,,
DK,G1000,"279.24","17752.23","2625.64"
DK0,G1000,,,"2625.64"
DK01,G1000,,,"102.51"
DK02,G1000,,,"472.12"
DK03,G1000,,,"773.66"
DK04,G1000,,,"790.68"
DK05,G1000,,,"486.67"
EE,G1000,"122.46",,"985.41"
EE0,G1000,,,
EL,G1000,"111.09","7.73","5199.68"
EL1,G1000,,,
EL11,G1000,,,
EL12,G1000,,,
EL13,G1000,,,
EL14,G1000,,,
EL2,G1000,,,
EL21,G1000,,,
EL22,G1000,,,
EL23,G1000,,,
EL24,G1000,,,
EL25,G1000,,,
EL3,G1000,"0.48","0","81.57"
EL30,G1000,"0.48","0","81.57"
EL4,G1000,"35.96","0.83","1029.92"
EL41,G1000,"4.15","0","188.56"
EL41_42,G1000,,,
EL42,G1000,"5.8","0.78","139.13"
EL43,G1000,"26.01","0.05","702.23"
EL5,G1000,"28.07","6.84","1876.77"
EL51,G1000,"7.8","5.68","495.35"
EL52,G1000,"7.27","0","762.61"
EL53,G1000,"7.53","0.71","303.63"
EL54,G1000,"5.47","0.45","315.18"
EL6,G1000,"46.57","0.06","2211.43"
EL61,G1000,"7.69","0","655.53"
EL62,G1000,"1.09","0","93.17"
EL63,G1000,"14.18","0","455.56"
EL64,G1000,"14.96","0","519.71"
EL65,G1000,"8.66","0.06","487.45"
ES,G1000,"284.21","3094.09","24253.86"
ES1,G1000,"204.92","2460.99","1628.1"
ES11,G1000,"197.83","2273.56","936.6"
ES12,G1000,"6.17","165.31","431.53"
ES13,G1000,"0.92","22.12","259.97"
ES2,G1000,"19.42","288.84","3205.56"
ES21,G1000,"2.31","65.92","201.35"
ES22,G1000,"6.73","175.98","424.96"
ES23,G1000,"0.07","1.07","236.48"
ES24,G1000,"10.31","45.87","2342.76"
ES3,G1000,"1.11","12.71","341.63"
ES30,G1000,"1.11","12.71","341.63"
ES4,G1000,"23.63","173.21","11771.14"
ES41,G1000,"4.75","40.55","5161.37"
ES42,G1000,"2.77","20.25","3999.06"
ES43,G1000,"16.11","112.42","2610.71"
ES5,G1000,"32.33","140.22","1975.75"
ES51,G1000,"16.83","140.21","1064.22"
ES52,G1000,"0.03","0","694.46"
