NUTS2_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV
AT,F2000,"0","0","2642.21"
AT11,F2000,"0","0","0"
AT12,F2000,"0","0","0"
AT13,F2000,"0","0","0"
AT21,F2000,"0","0","0"
AT22,F2000,"0","0","0"
AT31,F2000,"0","0","0"
AT32,F2000,"0","0","0"
AT33,F2000,"0","0","0"
AT34,F2000,"0","0","0"
BE,F2000,"0","0","1355.86"
BE10,F2000,"0","0","0"
BE21,F2000,"0","0","0"
BE22,F2000,"0","0","0"
BE23,F2000,"0","0","0"
BE24,F2000,"0","0","0"
BE25,F2000,"0","0","0"
BE31,F2000,"0","0","0"
BE32,F2000,"0","0","0"
BE33,F2000,"0","0","0"
BE34,F2000,"0","0","0"
BE35,F2000,"0","0","0"
BG,F2000,"0.03","0","5038.23"
BG,F2000,"0.03","0.07","5038.23"
BG31,F2000,"0","0","0"
BG32,F2000,"0","0","0"
BG33,F2000,"0","0","0"
BG34,F2000,"0","0","0"
BG41,F2000,"0","0","0"
BG42,F2000,"0","0","0"
CY,F2000,"0.97","10.24","126.15"
CZ,F2000,"0","0","3524.38"
CZ01,F2000,"0","0","0"
CZ02,F2000,"0","0","0"
CZ03,F2000,"0","0","0"
CZ04,F2000,"0","0","0"
CZ05,F2000,"0","0","0"
CZ06,F2000,"0","0","0"
CZ07,F2000,"0","0","0"
CZ08,F2000,"0","0","0"
DE,F2000,"0","0","16636.98"
DE11,F2000,"0","0","0"
DE12,F2000,"0","0","0"
DE13,F2000,"0","0","0"
DE14,F2000,"0","0","0"
DE21,F2000,"0","0","0"
DE22,F2000,"0","0","0"
DE23,F2000,"0","0","0"
DE24,F2000,"0","0","0"
DE25,F2000,"0","0","0"
DE26,F2000,"0","0","0"
DE27,F2000,"0","0","0"
DE30,F2000,"0","0","0"
DE40,F2000,"0","0","0"
DE50,F2000,"0","0","0"
DE60,F2000,"0","0","0"
DE71,F2000,"0","0","0"
DE72,F2000,"0","0","0"
DE73,F2000,"0","0","0"
DE80,F2000,"0","0","0"
DE91,F2000,"0","0","0"
DE92,F2000,"0","0","0"
DE93,F2000,"0","0","0"
DE94,F2000,"0","0","0"
DEA1,F2000,"0","0","0"
DEA2,F2000,"0","0","0"
DEA3,F2000,"0","0","0"
DEA4,F2000,"0","0","0"
DEA5,F2000,"0","0","0"
DEB1,F2000,"0","0","0"
DEB2,F2000,"0","0","0"
DEB3,F2000,"0","0","0"
DEC0,F2000,"0","0","0"
DED2,F2000,"0","0","0"
DED4,F2000,"0","0","0"
DED5,F2000,"0","0","0"
DEE0,F2000,"0","0","0"
DEF0,F2000,"0","0","0"
DEG0,F2000,"0","0","0"
DK,F2000,"0","0","2625.64"
DK01,F2000,"0","0","0"
DK02,F2000,"0","0","0"
DK03,F2000,"0","0","0"
DK04,F2000,"0","0","0"
DK05,F2000,"0","0","0"
EE,F2000,"0","0","985.41"
EE00,F2000,"0","0","0"
EL,F2000,"15.15","318.37","5199.68"
EL11,F2000,"0","0","0"
EL12,F2000,"0","0","0"
EL13,F2000,"0","0","0"
EL14,F2000,"0","0","0"
EL21,F2000,"0","0","0"
EL22,F2000,"0","0","0"
EL23,F2000,"0","0","0"
EL24,F2000,"0","0","0"
EL25,F2000,"0","0","0"
EL30,F2000,"0.15","1.89","5.22"
EL41,F2000,"0.09","1.1","3.04"
EL42,F2000,"0.04","0.47","1.3"
EL43,F2000,"0.7","8.8","24.35"
EL51,F2000,"2.27","28.6","79.13"
EL52,F2000,"5.39","67.88","187.83"
EL53,F2000,"0.02","0.31","0.87"
EL54,F2000,"1.52","19.17","53.04"
EL61,F2000,"0.7","8.8","24.35"
EL62,F2000,"0.01","0.16","0.43"
EL63,F2000,"0.61","7.7","21.3"
EL64,F2000,"2.23","28.12","77.83"
EL65,F2000,"2.15","27.02","74.78"
ES,F2000,"73.97","1184.53","24253.86"
ES11,F2000,"0.31","1.37","7.07"
ES12,F2000,"0.17","0.74","3.86"
ES13,F2000,"0.01","0.06","0.32"
ES21,F2000,"0.07","0.31","1.61"
ES22,F2000,"0","0","0"
ES23,F2000,"0","0","0"
ES24,F2000,"0.16","0.68","3.54"
ES30,F2000,"0.01","0.06","0.32"
