NUTS2_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV
,V4500,"0.0968","1.607","185.08"
,V4500,"0.00825","0.215833333","878.73"
,V4500,"0.00805","0.28175","5.662"
,V4500,"0.007106667","0.126186667","210.216"
,V4500,"0.354933333","4.351366667","362.742"
,V4500,"0.038166667","1.048166667","507.71"
,V4500,"0.006583333","0.177125","173.67"
,V4500,"0.189","3.763333333","241.6"
,V4500,"0.000958333","0.024741667","76.8"
,V4500,"0.000004",,"3.048"
,V4500,"0",,"96.518"
,V4500,"0",,"86.294"
,V4500,"0",,"147.72"
,V4500,"0.000532",,"88.31"
,V4500,"0.001592",,"201.36"
,V4500,"0.000228",,"64.704"
,V4500,"0.000512",,"209.64"
,V4500,"0.00014",,"158.78"
,V4500,"0.000032",,"143.332"
,V4500,"0.000164",,"156.166"
,V4500,"0.0005325",N/A,"10.898"
,V4500,"0.19808",N/A,"552.224"
,V4500,"0.002165",N/A,"739.158"
,V4500,"0.038583333",N/A,"316.616"
,V4500,"0.007356667",N/A,"569.826"
,V4500,"0.065155",N/A,"725.494"
,V4500,"0.004308333",N/A,"397.306"
,V4500,"0.001016",N/A,"212.85"
,V4500,"0.002","0.03","431.53"
,V4500,"0.003","0.117","236.484"
,V4500,"0.005","0.069","2342.764"
,V4500,"0.033","1.155","5161.37"
,V4500,"0.019","0.435","3999.056"
,V4500,"0.101","1.816","1064.22"
,V4500,"0.092","2.652","694.464"
,V4500,"0.005","0.058","217.074"
,V4500,"0.041","1.031","4812.198"
,V4500,"0.005","0.083","408.208"
,V4500,"0.002","0.045","111.274"
,V4500,"0.2315","3.4625","585.9075"
,V4500,"0.4555","6.617625","2389.865"
,V4500,"0.031","0.5012625","1833.285"
,V4500,"0.031","0.5012625","715.8175"
,V4500,"0.03975","0.63455","1271.58"
,V4500,"0.03975","0.63455","805.5025"
,V4500,"0.0154375","0.2570125","829.13"
,V4500,"0.0154375","0.2570125","1352.9025"
,V4500,"0.019666667","0.263983333","343.25"
,V4500,"0.019666667","0.263983333","1546.6725"
,V4500,"0.019666667","0.263983333","1168.3525"
,V4500,"1.05575","14.81995","2280.5775"
,V4500,"0.0715","1.24395","1779.7475"
,V4500,"0.057083333","0.905308333","1592.24"
,V4500,"0.057083333","0.905308333","887.255"
,V4500,"0.057083333","0.905308333","1766.435"
,V4500,"0.05625","0.8469625","1012.5075"
,V4500,"0.05625","0.8469625","2497.3175"
,V4500,"0.2615","4.460233333","1491.04"
,V4500,"0.2615","4.460233333","1583.7075"
,V4500,"0.221","3.5696","794.25"
,V4500,"0.003","0.036425","302.1475"
,V4500,"0.002","0.00675","49.2075"
,V4500,"0","0","31.24"
,V4500,"0.01875","0.05875","32.2275"
,V4500,"0.012","0.24","48.285"
,V4500,"0","0","20.0075"
,V4500,,"0.016","34.332"
,V4500,"0.00725","0.1086","311.614"
,V4500,,"0.059","578.412"
,V4500,"0.013","0.2392","565.332"
,V4500,"0.001","0.1348","745.852"
,V4500,"0.029","0.2914","587.718"
,V4500,"0.0452","0.7872","1174.514"
,V4500,"0.1188","2.1912","1212.722"
,V4500,"0.005",N/A,"890.22"
,V4500,"0.0112",N/A,"1056.448"
,V4500,"0.016",N/A,"568.682"
,V4500,"0.1868",N/A,"1551.75"
,V4500,"0.004",N/A,"523.596"
,V4500,"0.0268",N/A,"1483.86"
,V4500,"0.1152",N/A,"1118.888"
,V4500,"0.0128",N/A,"794.912"
,V4500,"0.001",N/A,"228.508"
,V4500,"0.0064",N/A,"1044.96"
,V4500,"0.0274",N/A,"673.39"
,V4500,"0.2198",N/A,"743.904"
,V4500,"0","0","1900"
