NUTS2_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV
AT,R1000,"23.51","751.63","2642.21"
AT1,R1000,"20.4","658.69","1069.47"
AT11,R1000,"1.28","46.41","185.08"
AT12,R1000,"19.06","610.03","878.73"
AT13,R1000,"0.07","2.25","5.66"
AT2,R1000,"1.22","34.89","572.96"
AT21,R1000,"0.45","12.72","210.22"
AT22,R1000,"0.76","22.17","362.74"
AT3,R1000,"1.89","58.06","999.78"
AT31,R1000,"1.34","42.36","507.71"
AT32,R1000,"0.11","3.09","173.67"
AT33,R1000,"0.38","10.99","241.6"
AT34,R1000,"0.06","1.62","76.8"
BE,R1000,"94.33","3858.02","1355.86"
BE1,R1000,"0.23","9.57","3.05"
BE10,R1000,"0.23","9.57","3.05"
BE2,R1000,"52.01","2144.55","620.2"
BE21,R1000,"4.42","189.86","96.52"
BE22,R1000,"3.45","159.02","86.29"
BE23,R1000,"12.5","503.65","147.72"
BE24,R1000,"6.31","275.41","88.31"
BE25,R1000,"25.33","1016.62","201.36"
BE3,R1000,"42.09","1703.9","732.62"
BE31,R1000,"7.11","299.09","64.7"
BE32,R1000,"20.98","829.84","209.64"
BE33,R1000,"7.13","309.48","158.78"
BE34,R1000,"0.33","9.49","143.33"
BE35,R1000,"6.53","256","156.17"
BG,R1000,"11.41","214.96","5038.23"
BG1,R1000,,,
BG3,R1000,"1.92",,"3662.04"
BG3,R1000,"1.92","31.89","3662.04"
BG31,R1000,"0.43",,"1055.2"
BG31,R1000,"0.43","7.81","1055.2"
BG32,R1000,"0.27",,"805.59"
BG32,R1000,"0.27","3.17","805.59"
BG33,R1000,"0.26",,"881.48"
BG33,R1000,"0.26","3.89","881.48"
BG34,R1000,"0.97",,"919.77"
BG34,R1000,"0.97","17.02","919.77"
BG4,R1000,"9.51",,"1376.19"
BG4,R1000,"9.51","186.36","1376.19"
BG41,R1000,"5.83",,"593.44"
BG41,R1000,"5.83","120.66","593.44"
BG42,R1000,"3.68",,"782.75"
BG42,R1000,"3.68","65.7","782.75"
CY,R1000,"4.09","95.55","126.15"
CZ,R1000,"23.18","652.64","3524.38"
CZ0,R1000,,,"3524.38"
CZ01,R1000,,,"10.9"
CZ02,R1000,,,"552.22"
