NUTS2_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV
AT,C1700,"3.9","30.93","2642.21"
AT1,C1700,"2.47","18.62","1069.47"
AT11,C1700,"0.96","6.05","185.08"
AT12,C1700,"1.51","12.52","878.73"
AT13,C1700,"0.01","0.04","5.66"
AT13,C1700,"0.01","0","5.66"
AT2,C1700,"1.33","11.44","572.96"
AT21,C1700,"0.08","0.65","210.22"
AT22,C1700,"1.24","10.79","362.74"
AT3,C1700,"0.1","0.86","999.78"
AT31,C1700,"0.1","0.85","507.71"
AT32,C1700,"0","0","173.67"
AT33,C1700,"0","0","241.6"
AT34,C1700,"0","0","76.8"
BE,C1700,"0","0","1355.86"
BE1,C1700,"0","0","3.05"
BE10,C1700,"0","0","3.05"
BE2,C1700,"0","0","620.2"
BE21,C1700,"0","0","96.52"
BE22,C1700,"0","0","86.29"
BE23,C1700,"0","0","147.72"
BE24,C1700,"0","0","88.31"
BE25,C1700,"0","0","201.36"
BE3,C1700,"0","0","732.62"
BE31,C1700,"0","0","64.7"
BE32,C1700,"0","0","209.64"
BE33,C1700,"0","0","158.78"
BE34,C1700,"0","0","143.33"
BE35,C1700,"0","0","156.17"
BG,C1700,"5.05","17.88","5038.23"
BG1,C1700,,,
BG3,C1700,,,"3662.04"
BG31,C1700,,,"1055.2"
BG32,C1700,,,"805.59"
BG33,C1700,,,"881.48"
BG34,C1700,,,"919.77"
BG4,C1700,,,"1376.19"
BG41,C1700,,,"593.44"
BG42,C1700,,,"782.75"
CY,C1700,"0","0","126.15"
CZ,C1700,"0","0","3524.38"
CZ0,C1700,"0","0","3524.38"
CZ01,C1700,"0","0","10.9"
CZ02,C1700,"0","0","552.22"
CZ03,C1700,"0","0","739.16"
CZ04,C1700,"0","0","316.62"
CZ05,C1700,"0","0","569.83"
CZ06,C1700,"0","0","725.49"
CZ07,C1700,"0","0","397.31"
CZ08,C1700,"0","0","212.85"
DE,C1700,,,"16636.98"
DE1,C1700,,,"1412.48"
DE11,C1700,,,
DE12,C1700,,,
DE13,C1700,,,
DE14,C1700,,,
DE2,C1700,,,"3107.04"
DE21,C1700,,,
DE22,C1700,,,
DE23,C1700,,,
DE24,C1700,,,
DE25,C1700,,,
DE26,C1700,,,
DE27,C1700,,,
DE3,C1700,,,"1.84"
DE30,C1700,,,
DE4,C1700,,,"1316"
DE40,C1700,,,
DE5,C1700,,,"8.02"
DE50,C1700,,,
DE6,C1700,,,"14.6"
DE60,C1700,,,
DE7,C1700,,,"768"
DE71,C1700,,,
DE72,C1700,,,
DE73,C1700,,,
DE8,C1700,,,"1346.2"
DE80,C1700,,,
DE9,C1700,,,"2581.64"
DE91,C1700,,,
DE92,C1700,,,
DE93,C1700,,,
DE94,C1700,,,
DEA,C1700,,,"1473.78"
DEA1,C1700,,,
DEA2,C1700,,,
DEA3,C1700,,,
DEA4,C1700,,,
DEA5,C1700,,,
DEB,C1700,,,"706.46"
DEB1,C1700,,,
DEB2,C1700,,,
DEB3,C1700,,,
DEC,C1700,,,"74.62"
DEC0,C1700,,,
DED,C1700,,,"899.34"
DED2,C1700,,,
DED4,C1700,,,
DED5,C1700,,,
DEE,C1700,,,"1165.58"
DEE0,C1700,,,
DEF,C1700,,,"985.4"
DEF0,C1700,,,
DEG,C1700,,,"775.98"
DEG0,C1700,,,
DEW,C1700,,,
DK,C1700,"0","0","2625.64"
DK0,C1700,"0","0","2625.64"
DK01,C1700,"0","0","102.51"
DK02,C1700,"0","0","472.12"
DK03,C1700,"0","0","773.66"
DK04,C1700,"0","0","790.68"
DK05,C1700,"0","0","486.67"
EE,C1700,"0","0","985.41"
EE0,C1700,"0","0",
EL,C1700,"2.49","7.6","5199.68"
EL1,C1700,,,
EL11,C1700,,,
EL12,C1700,,,
EL13,C1700,,,
EL14,C1700,,,
EL2,C1700,,,
EL21,C1700,,,
EL22,C1700,,,
EL23,C1700,,,
EL24,C1700,,,
EL25,C1700,,,
EL3,C1700,"0","0","81.57"
EL30,C1700,"0","0","81.57"
EL4,C1700,"0.2","2.31","1029.92"
EL41,C1700,"0.16","0.83","188.56"
EL41_42,C1700,,,
EL42,C1700,"0.01","0.03","139.13"
EL42,C1700,"0.01","0","139.13"
EL43,C1700,"0.03","1.45","702.23"
EL5,C1700,"1.48","3.27","1876.77"
EL51,C1700,"0.5","1.36","495.35"
EL52,C1700,"0.66","1.29","762.61"
EL53,C1700,"0.16","0.32","303.63"
EL54,C1700,"0.17","0.31","315.18"
EL6,C1700,"0.81","2.02","2211.43"
EL61,C1700,"0.21","0.26","655.53"
EL62,C1700,"0","0","93.17"
EL63,C1700,"0.43","0.86","455.56"
EL64,C1700,"0.09","0.39","519.71"
EL65,C1700,"0.07","0.47","487.45"
ES,C1700,"5.81","24.16","24253.86"
ES1,C1700,"0","0","1628.1"
ES11,C1700,"0","0","936.6"
ES12,C1700,"0","0","431.53"
ES13,C1700,"0","0","259.97"
ES2,C1700,"1.27","6.32","3205.56"
ES21,C1700,"0","0","201.35"
ES22,C1700,"0.03","0.13","424.96"
ES22,C1700,"0.03","0","424.96"
ES23,C1700,"0","0","236.48"
ES24,C1700,"1.24","6.18","2342.76"
ES3,C1700,"0.03","0","341.63"
ES3,C1700,"0.03","0.1","341.63"
ES30,C1700,"0.03","0","341.63"
ES30,C1700,"0.03","0.1","341.63"
ES4,C1700,"0.42","1.99","11771.14"
ES41,C1700,"0.16","0.95","5161.37"
ES42,C1700,"0.25","1.02","3999.06"
ES43,C1700,"0.01","0","2610.71"
ES43,C1700,"0.01","0.01","2610.71"
ES5,C1700,"1.09","5.42","1975.75"
ES51,C1700,"1.01","5.14","1064.22"
ES52,C1700,"0.08","0.27","694.46"
ES53,C1700,"0","0","217.07"
ES53,C1700,"0","0.01","217.07"
ES6,C1700,"3.01","10.33","5220.41"
ES61,C1700,"2.98","10.27","4812.2"
ES62,C1700,"0.03","0.06","408.21"
ES63,C1700,"0","0","0"
ES64,C1700,"0","0","0"
ES7,C1700,"0","0","111.27"
ES70,C1700,"0","0","111.27"
FI,C1700,"0","0","2271.18"
FI1,C1700,"0","0","2254.78"
FI13,C1700,"0","0",
FI18,C1700,"0","0",
FI19,C1700,"0","0","787.74"
FI1A,C1700,"0","0",
FI1B,C1700,"0","0","181.22"
FI1C,C1700,"0","0","614.26"
FI1D,C1700,"0","0","671.58"
FI2,C1700,"0","0","16.44"
FI20,C1700,"0","0","16.44"
FR,C1700,"76.66","394.93","29010.89"
FR1,C1700,"0.71","5","585.91"
FR10,C1700,"0.71","5","585.91"
FR2,C1700,,,
FR21,C1700,,,
FR22,C1700,,,
FR23,C1700,,,
FR24,C1700,,,
FR25,C1700,,,
FR26,C1700,,,
FR3,C1700,,,
FR30,C1700,,,
FR4,C1700,,,
FR41,C1700,,,
FR42,C1700,,,
FR43,C1700,,,
FR5,C1700,,,
FR51,C1700,,,
FR52,C1700,,,
FR53,C1700,,,
FR6,C1700,,,
FR61,C1700,,,
FR62,C1700,,,
FR63,C1700,,,
FR7,C1700,,,
FR71,C1700,,,
FR72,C1700,,,
FR8,C1700,,,
FR81,C1700,,,
FR82,C1700,,,
FR83,C1700,,,
FR9,C1700,,,
FR91,C1700,,,
FR92,C1700,,,
FR93,C1700,,,
FR94,C1700,,,
FRA,C1700,,,
FRA1,C1700,,,
FRA2,C1700,,,
FRA3,C1700,,,
FRA4,C1700,,,
FRA5,C1700,,,
FRB,C1700,"13.87","68.67","2389.86"
FRB0,C1700,"13.87","68.67","2389.86"
FRC,C1700,"4.27","23.4","2549.1"
FRC1,C1700,"3.67","20.09","1833.28"
FRC2,C1700,"0.61","3.31","715.82"
FRD,C1700,"0.4","1.93","2077.08"
FRD1,C1700,"0.29","1.38","1271.58"
FRD2,C1700,"0.11","0.55","805.5"
FRE,C1700,"0.47","2.5","2182.03"
FRE1,C1700,"0.09","0","829.13"
FRE1,C1700,"0.09","0.51","829.13"
FRE2,C1700,"0.37","1.99","1352.9"
FRF,C1700,"1.03","5.08","3058.28"
FRF1,C1700,"0.17","1.22","343.25"
FRF2,C1700,"0.57","2.44","1546.67"
FRF3,C1700,"0.28","1.42","1168.35"
FRF3,C1700,"0.28","0","1168.35"
FRG,C1700,"4.03","22.87","2280.58"
FRG0,C1700,"4.03","22.87","2280.58"
FRH,C1700,"0.47","2.57","1779.75"
FRH0,C1700,"0.47","2.57","1779.75"
FRI,C1700,"18.61","96.69","4245.93"
FRI1,C1700,"11.16","60.98","1592.24"
FRI2,C1700,"0.66","2.7","887.26"
FRI3,C1700,"6.79","33.01","1766.43"
FRJ,C1700,"23.56","118.56","3509.83"
FRJ1,C1700,"2.61","12","1012.51"
FRJ2,C1700,"20.95","106.56","2497.32"
FRK,C1700,"7.5","40.23","3074.75"
FRK1,C1700,"0.58","2.65","1491.04"
FRK2,C1700,"6.93","37.58","1583.71"
FRL,C1700,"1.7","7.27","794.25"
FRL0,C1700,"1.7","7.27","794.25"
FRM,C1700,"0.05","0.16","302.15"
FRM,C1700,"0.05","0","302.15"
FRM0,C1700,"0.05","0.16","302.15"
FRM0,C1700,"0.05","0","302.15"
