NUTS2_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV
,G2910,"0.000591667",,"3.048"
,G2910,"0.058198333",,"96.518"
,G2910,"0.026188333",,"86.294"
,G2910,"0.046986667",,"147.72"
,G2910,"0.014738333",,"88.31"
,G2910,"0.029096667",,"201.36"
,G2910,"0.01985",,"64.704"
,G2910,"0.136383333",,"209.64"
,G2910,"0.0354",,"158.78"
,G2910,"0.18879",,"143.332"
,G2910,"0.122933333",,"156.166"
,G2910,"0.04582","0.252186667","10.898"
,G2910,"6.431013333","41.72911","552.224"
,G2910,"17.73138833","121.439045","739.158"
,G2910,"1.861495","12.53473333","316.616"
,G2910,"4.616408333","28.95458","569.826"
,G2910,"23.30563833","159.4565417","725.494"
,G2910,"2.879598333","17.7072","397.306"
,G2910,"1.254041667","7.880536667","212.85"
,G2910,"6.344444444","0.273594444","102.512"
,G2910,"18.23333333","0.769983333","472.124"
,G2910,"63.64444444","2.867555556","773.656"
,G2910,"56.52777778","2.571794444","790.678"
,G2910,"70.3","3.235866667","486.67"
,G2910,"0","0","81.57"
,G2910,"0.008","0.004","188.556"
,G2910,"0.00035","0.0006455","139.13"
,G2910,"0.0003","0.00024","702.23"
,G2910,"0.0719","0.06955","495.346"
,G2910,"0.3224","0.260152","762.608"
,G2910,"0.4299","0.3383555","303.634"
,G2910,"0.00095","0.00106","315.176"
,G2910,"2.8739","1.4271025","655.526"
,G2910,"0","0","93.174"
,G2910,"0.0045","0.004925","455.556"
,G2910,"0.6485","0.4735995","519.714"
,G2910,"0.00655","0.0116","487.454"
,G2910,"0.0255","0.106","34.332"
,G2910,"0.0236","0.052","311.614"
,G2910,"0.0618","0.1548","578.412"
,G2910,"0.3916","0.6264","565.332"
,G2910,"0.2856","0.76","745.852"
,G2910,"0.5426","1.4854","587.718"
,G2910,"0.3206","0.9532","1174.514"
,G2910,"0.04525","0.0835","1212.722"
,G2910,"0.84",N/A,"890.22"
,G2910,"2.629",N/A,"1056.448"
,G2910,"0.25",N/A,"193.942"
,G2910,"0.27",N/A,"568.682"
,G2910,"0.095",N/A,"523.596"
,G2910,"1",N/A,"1483.86"
,G2910,"0.004",N/A,"136.142"
,G2910,"0.0355",N/A,"794.912"
,G2910,"0.066",N/A,"228.508"
,G2910,"0.1995",N/A,"1044.96"
,G2910,"3.786",N/A,"673.39"
,G2910,"2.2815","14.58183333","339.258"
,G2910,"0.452166667","2.891666667","141.284"
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
,G2910,,,
