NUTS2_CODE;CROP_CODE;AREA_AV;PROD_AV;UAA_AV
AT;G2000;"77.85";"1353.9";"2642.21"
AT1;G2000;"43.35";"705";"1069.47"
AT11;G2000;"5.68";"76.16";"185.08"
AT12;G2000;"37.53";"626.42";"878.73"
AT13;G2000;"0.14";"2.43";"5.66"
AT2;G2000;"10.98";"212.79";"572.96"
AT21;G2000;"4.21";"81.68";"210.22"
AT22;G2000;"6.77";"131.11";"362.74"
AT3;G2000;"23.52";"436.11";"999.78"
AT31;G2000;"22.07";"408.47";"507.71"
AT32;G2000;"0.54";"10.69";"173.67"
AT33;G2000;"0.72";"13.43";"241.6"
AT34;G2000;"0.18";"3.51";"76.8"
BE;G2000;"5.25";;"1355.86"
BE1;G2000;"0.01";;"3.05"
BE10;G2000;"0.01";;"3.05"
BE2;G2000;"1.13";;"620.2"
BE21;G2000;"0.27";;"96.52"
BE22;G2000;"0.15";;"86.29"
BE23;G2000;"0.18";;"147.72"
BE24;G2000;"0.2";;"88.31"
BE25;G2000;"0.33";;"201.36"
BE3;G2000;"4.11";;"732.62"
BE31;G2000;"0.4";;"64.7"
BE32;G2000;"1.23";;"209.64"
BE33;G2000;"0.49";;"158.78"
BE34;G2000;"1.02";;"143.33"
BE35;G2000;"0.96";;"156.17"
BG;G2000;"101.81";"1037.93";"5038.23"
BG1;G2000;;;
BG3;G2000;;;"3662.04"
BG31;G2000;;;"1055.2"
BG32;G2000;;;"805.59"
BG33;G2000;;;"881.48"
BG34;G2000;;;"919.77"
BG4;G2000;;;"1376.19"
BG41;G2000;;;"593.44"
BG42;G2000;;;"782.75"
CY;G2000;"3.05";;"126.15"
CZ;G2000;"189.73";"2944.74";"3524.38"
CZ0;G2000;;;"3524.38"
CZ01;G2000;;;"10.9"
CZ02;G2000;;;"552.22"
CZ03;G2000;;;"739.16"
CZ04;G2000;;;"316.62"
CZ05;G2000;;;"569.83"
CZ06;G2000;;;"725.49"
CZ07;G2000;;;"397.31"
CZ08;G2000;;;"212.85"
DE;G2000;"306.58";"6271.83";"16636.98"
DE1;G2000;"43.94";"852.23";"1412.48"
DE11;G2000;;;
DE12;G2000;;;
DE13;G2000;;;
DE14;G2000;;;
DE2;G2000;"103.22";"2596.46";"3107.04"
DE21;G2000;;;
DE22;G2000;;;
DE23;G2000;;;
DE24;G2000;;;
DE25;G2000;;;
DE26;G2000;;;
DE27;G2000;;;
DE3;G2000;"0";;"1.84"
DE30;G2000;;;
DE4;G2000;"38.08";"560.12";"1316"
DE40;G2000;;;
DE5;G2000;"0.1";;"8.02"
DE50;G2000;;;
DE6;G2000;"0.2";;"14.6"
DE60;G2000;;;
DE7;G2000;"4.34";"69.66";"768"
DE71;G2000;;;
DE72;G2000;;;
DE73;G2000;;;
DE8;G2000;"15.66";"191.09";"1346.2"
DE80;G2000;;;
DE9;G2000;"12.76";"298.28";"2581.64"
DE91;G2000;;;
DE92;G2000;;;
DE93;G2000;;;
DE94;G2000;;;
DEA;G2000;"8.66";"114.86";"1473.78"
DEA1;G2000;;;
DEA2;G2000;;;
DEA3;G2000;;;
DEA4;G2000;;;
DEA5;G2000;;;
DEB;G2000;"9.36";"187.09";"706.46"
DEB1;G2000;;;
DEB2;G2000;;;
DEB3;G2000;;;
DEC;G2000;"1.72";"25.48";"74.62"
DEC0;G2000;;;
DED;G2000;"22.84";"459.54";"899.34"
DED2;G2000;;;
DED4;G2000;;;
DED5;G2000;;;
DEE;G2000;"17.4";"294.11";"1165.58"
DEE0;G2000;;;
DEF;G2000;"9.26";"197.14";"985.4"
DEF0;G2000;;;
DEG;G2000;"18.96";"422.46";"775.98"
DEG0;G2000;;;
DEW;G2000;;;
DK;G2000;"1.02";"94.56";"2625.64"
DK0;G2000;;;"2625.64"
DK01;G2000;;;"102.51"
DK02;G2000;;;"472.12"
DK03;G2000;;;"773.66"
DK04;G2000;;;"790.68"
DK05;G2000;;;"486.67"
EE;G2000;"32.2";;"985.41"
EE0;G2000;;;
EL;G2000;"29.16";"125.29";"5199.68"
EL1;G2000;;;
EL11;G2000;;;
EL12;G2000;;;
EL13;G2000;;;
EL14;G2000;;;
EL2;G2000;;;
EL21;G2000;;;
EL22;G2000;;;
EL23;G2000;;;
EL24;G2000;;;
EL25;G2000;;;
EL3;G2000;"0";"0";"81.57"
EL30;G2000;"0";"0";"81.57"
EL4;G2000;"1.08";"7.32";"1029.92"
EL41;G2000;"0.15";"2.17";"188.56"
EL41_42;G2000;;;
EL42;G2000;"0.18";"0";"139.13"
EL42;G2000;"0.18";"2.48";"139.13"
EL43;G2000;"0.76";"2.67";"702.23"
EL5;G2000;"21.35";"90.74";"1876.77"
EL51;G2000;"2.3";"5.61";"495.35"
EL52;G2000;"16.67";"84.49";"762.61"
EL53;G2000;"2.3";"0.11";"303.63"
EL54;G2000;"0.08";"0.52";"315.18"
EL6;G2000;"6.72";"27.21";"2211.43"
EL61;G2000;"3.78";"16.19";"655.53"
EL62;G2000;"0.04";"0.13";"93.17"
EL63;G2000;"0.49";"5.37";"455.56"
EL64;G2000;"1.61";"0.7";"519.71"
EL65;G2000;"0.82";"4.82";"487.45"
ES;G2000;"444.72";"7188.19";"24253.86"
ES1;G2000;"2.03";"17.64";"1628.1"
ES11;G2000;"1.45";"11.85";"936.6"
ES12;G2000;"0.08";"1.16";"431.53"
ES13;G2000;"0.51";"4.64";"259.97"
ES2;G2000;"119";"2571.14";"3205.56"
ES21;G2000;"2.23";"36.44";"201.35"
ES22;G2000;"12.91";"230.06";"424.96"
ES23;G2000;"1.78";"34.64";"236.48"
ES24;G2000;"102.08";"2270";"2342.76"
ES3;G2000;"2.28";"90.65";"341.63"
ES30;G2000;"2.28";"90.65";"341.63"
ES4;G2000;"260.08";"3173.53";"11771.14"
ES41;G2000;"201.46";"2136.24";"5161.37"
ES42;G2000;"29.76";"784.06";"3999.06"
ES43;G2000;"28.86";"253.22";"2610.71"
ES5;G2000;"42.09";"977.71";"1975.75"
ES51;G2000;"38.16";"905.82";"1064.22"
ES52;G2000;"2.45";"48.96";"694.46"
ES53;G2000;"1.49";"22.93";"217.07"
ES6;G2000;"18.98";"355.32";"5220.41"
ES61;G2000;"18.3";"339.27";"4812.2"
ES62;G2000;"0.68";"16.04";"408.21"
ES63;G2000;"0";"0";"0"
