NUTS2_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV
AT,C1110,"266.27","1433.87","2642.21"
AT1,C1110,"204.97","1017.89","1069.47"
AT11,C1110,"41.05","187.42","185.08"
AT12,C1110,"162.88","825.55","878.73"
AT13,C1110,"1.04","4.92","5.66"
AT2,C1110,"11.57","70.22","572.96"
AT21,C1110,"3.4","20.49","210.22"
AT22,C1110,"8.16","49.73","362.74"
AT3,C1110,"49.72","345.76","999.78"
AT31,C1110,"49.14","343.07","507.71"
AT32,C1110,"0.27","1.46","173.67"
AT33,C1110,"0.14","0.69","241.6"
AT34,C1110,"0.16","0.54","76.8"
BE,C1110,"200.18","1725.15","1355.86"
BE1,C1110,"0.71","6.17","3.05"
BE10,C1110,"0.71","6.17","3.05"
BE2,C1110,"63.07","561.24","620.2"
BE21,C1110,"1.47","10.76","96.52"
BE22,C1110,"8.78","78.23","86.29"
BE23,C1110,"12.24","109.85","147.72"
BE24,C1110,"17.52","153.43","88.31"
BE25,C1110,"23.06","208.97","201.36"
BE3,C1110,"136.39","1157.74","732.62"
BE31,C1110,"19.98","177.66","64.7"
BE32,C1110,"53.65","468.02","209.64"
BE33,C1110,"23.82","213.37","158.78"
BE34,C1110,"5.83","34.75","143.33"
BE35,C1110,"33.11","263.93","156.17"
BG,C1110,"1181.95","6111.13","5038.23"
BG1,C1110,,,
BG3,C1110,"1008.56","5411.49","3662.04"
BG31,C1110,"261.83","1495.91","1055.2"
BG31,C1110,"261.83",,"1055.2"
BG32,C1110,"226.05","1330.85","805.59"
BG32,C1110,"226.05",,"805.59"
BG33,C1110,"276.41","1436.74","881.48"
BG34,C1110,"243.66","1124.24","919.77"
BG4,C1110,"173.4","699.64","1376.19"
BG41,C1110,"50.89","179.92","593.44"
BG41,C1110,"50.89",,"593.44"
BG42,C1110,"121.68","526.33","782.75"
BG42,C1110,"121.68",,"782.75"
CY,C1110,"3.61","7.94","126.15"
CZ,C1110,"814.91","4762.31","3524.38"
CZ0,C1110,"814.91","4762.31","3524.38"
CZ01,C1110,"3.81","23.46","10.9"
CZ02,C1110,"172","1025.08","552.22"
CZ03,C1110,"137","799.91","739.16"
CZ04,C1110,"75.83","451.54","316.62"
CZ05,C1110,"120.15","708.79","569.83"
CZ06,C1110,"182.86","1024.61","725.49"
CZ07,C1110,"83.5","499.03","397.31"
CZ08,C1110,"39.77","229.88","212.85"
DE11,C1110,"216.22","1623.48",
DE12,C1110,"216.22","1623.48",
DE13,C1110,"216.22","1623.48",
DE14,C1110,"216.22","1623.48",
DE21,C1110,"501.68","3758.04",
DE22,C1110,"501.68","3758.04",
DE23,C1110,"501.68","3758.04",
DE24,C1110,"501.68","3758.04",
DE25,C1110,"501.68","3758.04",
DE26,C1110,"501.68","3758.04",
DE27,C1110,"501.68","3758.04",
DE30,C1110,,,
DE40,C1110,"170.54","988.42",
DE50,C1110,,,
DE60,C1110,"1.18",,
DE71,C1110,"155.3","1139.64",
DE72,C1110,"155.3","1139.64",
DE73,C1110,"155.3","1139.64",
DE80,C1110,"329.8","2425.98",
DE91,C1110,"381.52","2981.3",
DE92,C1110,"381.52","2981.3",
DE93,C1110,"381.52","2981.3",
DE94,C1110,"381.52","2981.3",
DEA1,C1110,"247.3","1992.08",
DEA2,C1110,"247.3","1992.08",
DEA3,C1110,"247.3","1992.08",
DEA4,C1110,"247.3","1992.08",
DEA5,C1110,"247.3","1992.08",
DEB1,C1110,"107.36","777.96",
DEB2,C1110,"107.36","777.96",
DEB3,C1110,"107.36","777.96",
Dec-00,C1110,"8.42","51.52",
DED2,C1110,"190.12","1368.9",
DED4,C1110,"190.12","1368.9",
DED5,C1110,"190.12","1368.9",
DEE0,C1110,"327.8","2170.14",
DEF0,C1110,"165.88","1418.36",
DEG0,C1110,"222.66","1577.92",
DEA5,C1110,,,
DEB,C1110,"104.58","763.76","706.46"
DEB1,C1110,,,
DEB2,C1110,,,
DEB3,C1110,,,
DEC,C1110,"8.7","53.83","74.62"
DEC,C1110,"8.7",,"74.62"
Dec-00,C1110,,,
DED,C1110,"188.02","1358.2","899.34"
DED2,C1110,,,
DED4,C1110,,,
DED5,C1110,,,
DEE,C1110,"317.64","2125.54","1165.58"
DEE0,C1110,,,
DEF,C1110,"165.88","1418.32","985.4"
DEF0,C1110,,,
DEG,C1110,"215.26","1535.66","775.98"
DEG0,C1110,,,
DEW,C1110,,,
DK,C1110,"525.22","4032.28","2625.64"
DK0,C1110,"525.22","4032.28","2625.64"
DK01,C1110,"24.06","178.62","102.51"
DK02,C1110,"129.88","1068.77","472.12"
DK03,C1110,"144.26","1096.78","773.66"
DK04,C1110,"138.5","1045.66","790.68"
DK05,C1110,"88.52","642.5","486.67"
EE,C1110,"167.87","717.38","985.41"
EE0,C1110,,,
EL,C1110,"102.92","295.24","5199.68"
EL1,C1110,,,
EL11,C1110,,,
EL12,C1110,,,
EL13,C1110,,,
EL14,C1110,,,
EL2,C1110,,,
EL21,C1110,,,
EL22,C1110,,,
EL23,C1110,,,
EL24,C1110,,,
EL25,C1110,,,
EL3,C1110,"0.3","0.55","81.57"
EL30,C1110,"0.3","0.55","81.57"
EL4,C1110,"0.97","1.02","1029.92"
EL41,C1110,"0.36","0.17","188.56"
EL41_42,C1110,,,
EL42,C1110,"0.42","0.51","139.13"
EL43,C1110,"0.18","0.34","702.23"
EL5,C1110,"85.19","243.9","1876.77"
EL51,C1110,"17.73","57.86","495.35"
EL52,C1110,"40.36","109.97","762.61"
EL53,C1110,"26.63","74.58","303.63"
EL54,C1110,"0.47","1.49","315.18"
EL6,C1110,"16.47","49.77","2211.43"
EL61,C1110,"10.92","34.17","655.53"
EL62,C1110,"0.18","0.49","93.17"
EL63,C1110,"0.9","2.71","455.56"
EL64,C1110,"2.5","7.67","519.71"
EL65,C1110,"1.97","4.74","487.45"
ES,C1110,"1704.17","6256.91","24253.86"
ES1,C1110,"13.86","37.97","1628.1"
ES11,C1110,"13.16","36.26","936.6"
ES12,C1110,"0.07","0.1","431.53"
ES13,C1110,"0.63","1.61","259.97"
ES2,C1110,"287.05","1278.99","3205.56"
ES21,C1110,"22.5","149.21","201.35"
ES22,C1110,"78.95","418.83","424.96"
ES23,C1110,"28.96","146.27","236.48"
ES24,C1110,"156.63","564.69","2342.76"
ES3,C1110,"17.88","48.91","341.63"
ES30,C1110,"17.88","48.91","341.63"
ES4,C1110,"1159.5","4064.73","11771.14"
ES41,C1110,"843.02","3090.33","5161.37"
ES42,C1110,"253.13","777.21","3999.06"
ES43,C1110,"63.35","197.19","2610.71"
ES5,C1110,"100.02","418.77","1975.75"
ES51,C1110,"89.73","396.88","1064.22"
ES52,C1110,"4.43","11.49","694.46"
ES53,C1110,"5.86","10.4","217.07"
ES6,C1110,"125.59","407.22","5220.41"
ES61,C1110,"116.91","390.6","4812.2"
ES62,C1110,"8.68","16.63","408.21"
ES63,C1110,"0","0","0"
ES64,C1110,"0","0","0"
ES7,C1110,"0.27","0.32","111.27"
ES70,C1110,"0.27","0.32","111.27"
FI,C1110,"196.18","720.36","2271.18"
